id,unified_name,preliminary_type,Year,TWDB Estimated?, Population Served , Single Family Volumes , Single Family Connections , Multi-Family Volumes , Multi-Family Connections , Commercial Volume , Commercial Connections , Industrial Volumes , Industrial Connections , Institutional Volume , Institutional Connections , Agricultural Volumes , Agricultural Connections , Total Metered Volume , Total Metered Connections , Total Un-metered Volume , Total Un-metered Connections ,TCEQ PWS Code,Wholesale System?,Water Use Survey Form Type,PWS System Class
HUBBARD CREEK LAKE/RESERVOIR,HUBBARD CREEK LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
370,POSSUM KINGDOM,water system,,,,,,,,,,,,,,,,,,,,,,,
GULF COAST AQUIFER,GULF COAST AQUIFER,water source,,,,,,,,,,,,,,,,,,,,,,,
1103290,TRINITY RIVER AUTHORITY,water system,,,,,,,,,,,,,,,,,,,,,,,
RED RUN OF RIVER,RED RUN OF RIVER,water source,,,,,,,,,,,,,,,,,,,,,,,
BRAZOS RUN OF RIVER,BRAZOS RUN OF RIVER,water source,,,,,,,,,,,,,,,,,,,,,,,
137000,CITY OF CARTHAGE,water system,2022.0,N," 6,533 "," 161,480,000 "," 2,695 "," 10,353,700 ", 21 ," 107,411,000 ", 619 ," 308,246,600 ", 5 ," 22,983,800 ", 90 ,,," 610,475,100 "," 3,430 "," 19,000,000 ", 25 ,TX1830001,N,Municipal Long,Municipal
TRINITY AQUIFER,TRINITY AQUIFER,water source,,,,,,,,,,,,,,,,,,,,,,,
6650,CITY OF ABILENE,water system,2022.0,N," 123,688 "," 3,212,813,000 "," 40,785 "," 534,664,000 "," 10,792 "," 1,013,812,000 "," 5,401 "," 149,223,000 ", 42 ," 1,004,137,000 "," 1,141 ",,," 6,559,497,000 "," 58,190 ",,,TX2210001,N,Municipal Long,Municipal
O.H. IVIE LAKE/RESERVOIR,O.H. IVIE LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
FORT PHANTOM HILL LAKE/RESERVOIR,FORT PHANTOM HILL LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
1103189,NORTH TEXAS MWD TAWAKONI WTP,water system,,,,,,,,,,,,,,,,,,,,TX1290052,Y,Municipal Short,District 
GRANBURY LAKE/RESERVOIR,GRANBURY LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
350,LAKE GRANBURY,water system,,,,,,,,,,,,,,,,,,,,,,,
1100643,WEST HARRIS COUNTY REGIONAL WATER AUTHORITY,water system,,,,,,,,,,,,,,,,,,,,TX1013303,Y,Municipal Short,Authority
SAN JACINTO BASIN,SAN JACINTO BASIN,water source,,,,,,,,,,,,,,,,,,,,,,,
206800,DALLAS WATER UTILITY,water system,2022.0,N," 1,321,740 "," 27,073,484,411 "," 281,331 ",,," 40,276,586,090 "," 55,706 ",,," 1,593,293,800 "," 1,709 ",,," 68,944,158,901 "," 338,748 "," 3,344,906,821 ",,TX0570004,N,Municipal Long,Municipal
241200,CITY OF DUMAS,water system,2022.0,N," 14,290 "," 543,413,000 "," 4,799 "," 3,142,600 ", 4 ," 176,746,700 ", 510 ,,," 30,371,500 ", 101 ,,," 753,673,800 "," 5,414 "," 155,132,459 ", 346 ,TX1710001,N,Municipal Long,Municipal
432800,CITY OF JACKSONVILLE,water system,2022.0,N," 14,544 "," 373,064,161 "," 5,280 ",,," 213,184,666 ", 880 ," 38,768,129 ", 5 ," 73,911,641 ", 5 ,,," 698,928,597 "," 6,170 "," 10,000,000 ", 26 ,TX0370002,N,Municipal Long,Municipal
809010,SOUTH TEXAS WATER AUTHORITY,water system,,,,,,,,,,,,,,,,,,,,TX1370035,Y,Municipal Short,Authority
EDWARDS-BFZ AQUIFER,EDWARDS-BFZ AQUIFER,water source,,,,,,,,,,,,,,,,,,,,,,,
EDWARDS-TRINITY-PLATEAU AQUIFER,EDWARDS-TRINITY-PLATEAU AQUIFER,water source,,,,,,,,,,,,,,,,,,,,,,,
685400,CITY OF PLANO,water system,2022.0,N," 285,150 "," 10,283,145,640 "," 73,564 "," 145,624,900 "," 43,221 "," 6,621,336,740 "," 9,645 "," 18,997,220 ", 25 ," 939,705,570 "," 1,469 ",,," 18,008,810,070 "," 127,924 ",,,TX0430007,N,Municipal Long,Municipal
770,HIDALGO CO WCID,water system,,,,,,,,,,,,,,,,,,,,,,,
NUECES-RIO GRANDE BASIN,NUECES-RIO GRANDE BASIN,water source,,,,,,,,,,,,,,,,,,,,,,,
420,WEST CENTRAL TEXAS MWD,water system,,,,,,,,,,,,,,,,,,,,TX2150023,Y,Municipal Short,District 
370401,HARRIS COUNTY MUD 401,water system,2022.0,N," 3,813 "," 169,518,000 "," 1,254 ",,," 10,163,000 ", 6 ,,," 207,000 ", 11 ,,," 179,888,000 "," 1,271 ",,,TX1013289,N,Municipal Long,District 
185000,CITY OF CORPUS CHRISTI,water system,2022.0,N," 317,863 "," 5,971,000,000 "," 88,164 "," 1,555,000,000 "," 1,833 "," 3,364,000,000 "," 6,920 "," 11,500,000,000 ", 20 ," 908,000,000 ", 986 ,,," 23,299,000,000 "," 97,925 ",,,TX1780003,N,Municipal Long,Municipal
12200,CITY OF ALICE,water system,2022.0,N," 17,891 "," 420,756,000 "," 6,341 "," 70,197,000 ", 27 ," 384,698,000 ", 934 ,,,,,,," 875,651,000 "," 7,302 "," 16,634,974 ",,TX1250001,N,Municipal Long,Municipal
160,NORTH TEXAS MWD WYLIE WTP,water system,,,,,,,,,,,,,,,,,,,,TX0430044,Y,Municipal Short,Authority
IGNEOUS AQUIFER,IGNEOUS AQUIFER,water source,,,,,,,,,,,,,,,,,,,,,,,
1104566,GULF COAST WATER AUTHORITY TX CITY,water system,,,,,,,,,,,,,,,,,,,,TX0840153,Y,Municipal Short,Authority
14000,GALVESTON COUNTY WCID 8,water system,2022.0,N," 10,000 "," 107,593,600 "," 2,213 "," 12,865,800 ", 355 ," 39,810,300 ", 220 ,,," 11,617,400 ", 8 ," 31,415,700 ",," 203,302,800 "," 2,796 "," 5,392,300 ",,TX0840009,N,Municipal Long,District 
440100,JOHNSON COUNTY SUD,water system,2022.0,N," 60,683 "," 1,732,641,194 "," 17,802 "," 90,687,808 "," 2,177 "," 118,790,634 "," 1,107 "," 12,689,473 ", 24 ," 16,062,323 ", 32 ," 172,002 ", 2 ," 1,971,043,434 "," 21,144 "," 32,412,522 ",,TX1260018,N,Municipal Long,District 
SAN JACINTO-BRAZOS BASIN,SAN JACINTO-BRAZOS BASIN,water source,,,,,,,,,,,,,,,,,,,,,,,
17600,AMARILLO MUNICIPAL WATER SYSTEM,water system,2022.0,N," 202,434 "," 7,867,956,000 "," 77,300 ",, 780 ," 10,450,594,000 "," 7,030 "," 455,589,000 ", 57 ," 102,183,000 ", 3 ," 1,634,570 ", 4 ," 22,232,642,730 "," 85,176 "," 7,142,800 "," 5,102 ",TX1880001,N,Municipal Long,Municipal
10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,water system,,,,,,,,,,,,,,,,,,,,TX1970003,Y,Municipal Short,Authority
ANAHUAC LAKE/RESERVOIR,ANAHUAC LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
YEGUA-JACKSON AQUIFER,YEGUA-JACKSON AQUIFER,water source,,,,,,,,,,,,,,,,,,,,,,,
28000,CITY OF ANDREWS,water system,2022.0,N," 14,000 "," 528,861,000 "," 4,423 "," 21,712,000 ", 65 ," 80,597,000 ", 429 ," 4,614,000 ", 3 ," 135,975,000 ", 142 ,,," 771,759,000 "," 5,062 ",,,TX0020001,N,Municipal Long,Municipal
519600,CITY OF LUFKIN,water system,2022.0,N," 51,236 "," 791,123,011 "," 13,998 "," 152,312,422 "," 3,196 "," 543,788,111 "," 1,871 "," 730,218,950 ", 11 ,,,,," 2,217,442,494 "," 19,076 "," 33,412,713 "," 1,593 ",TX0030004,N,Municipal Long,Municipal
2000,BRAZOSPORT WATER AUTHORITY,water system,,,,,,,,,,,,,,,,,,,,TX0200497,Y,Municipal Short,Authority
186300,CITY OF CORSICANA,water system,2022.0,N," 26,250 "," 567,582,000 "," 7,808 "," 83,925,000 "," 2,035 "," 262,717,300 "," 1,322 "," 196,955,000 ", 18 ," 84,098,000 ", 129 ,,," 1,195,277,300 "," 11,312 "," 1,103,000 ", 20 ,TX1750002,N,Municipal Long,Municipal
WOODBINE AQUIFER,WOODBINE AQUIFER,water source,,,,,,,,,,,,,,,,,,,,,,,
TRINITY BASIN,TRINITY BASIN,water source,,,,,,,,,,,,,,,,,,,,,,,
1102158,GTUA,water system,,,,,,,,,,,,,,,,,,,,,,,
848000,TEXARKANA WATER UTILITIES,water system,2022.0,N," 74,002 "," 1,350,697,214 "," 24,998 "," 316,808,878 "," 8,566 "," 439,090,639 "," 2,311 "," 523,822,511 ", 186 ," 410,691,494 ", 947 ," 195,573,999 ", 23 ," 3,236,684,735 "," 37,031 "," 517,442,808 ",,TX0190004,N,Municipal Long,Municipal
HUECO-MESILLA BOLSON AQUIFER,HUECO-MESILLA BOLSON AQUIFER,water source,,,,,,,,,,,,,,,,,,,,,,,
TRINITY-SAN JACINTO BASIN,TRINITY-SAN JACINTO BASIN,water source,,,,,,,,,,,,,,,,,,,,,,,
592000,CITY OF NACOGDOCHES,water system,2022.0,N," 37,000 "," 463,829,200 "," 8,844 "," 236,459,200 "," 5,436 "," 198,230,900 "," 1,607 "," 724,393,800 ", 59 ," 202,174,100 ", 184 ," 312,501,300 "," 1,654 "," 2,137,588,500 "," 17,784 "," 15,000,000 ", 1 ,TX1740003,N,Municipal Long,Municipal
257400,CITY OF ELGIN,water system,2022.0,N," 12,500 "," 243,052,000 "," 4,458 "," 13,510,000 ", 310 ," 59,214,000 ", 268 ,,," 14,837,000 ", 27 ," 30,176,000 ", 63 ," 360,789,000 "," 5,126 "," 3,000,000 ", 494 ,TX0110002,N,Municipal Long,Municipal
AQUILLA LAKE/RESERVOIR,AQUILLA LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
32800,CITY OF ARANSAS PASS,water system,2022.0,N," 10,521 "," 186,779,000 "," 4,081 "," 22,600,100 ", 45 ," 121,144,800 ", 515 ," 14,827,600 ", 12 ," 2,602,500 ", 9 ,,," 347,954,000 "," 4,662 "," 151,404,470 ", 75 ,TX2050015,N,Municipal Long,Municipal
769305,SAN PATRICIO MWD,water system,2022.0,N, 84 ," 1,132,000 ", 13 ,,," 29,639,000 ", 3 ," 51,630,000 ", 17 ,,," 1,423,000 ", 7 ," 83,824,000 ", 40 ,,,TX2050011,N,Municipal Long,District 
944456,CITY OF WICHITA FALLS,water system,2022.0,N," 104,553 "," 2,126,681,437 "," 30,956 "," 366,849,868 "," 1,025 "," 896,007,846 "," 2,519 "," 154,594,396 ", 18 ," 281,518,776 ", 843 ,,," 3,829,022,606 "," 35,362 "," 30,746,271 ",,TX2430001,N,Municipal Long,Municipal
295231,FORT BEND COUNTY FWSD 1,water system,2022.0,N," 5,176 "," 102,371,000 "," 1,651 "," 703,000 ", 12 ," 3,040,000 ", 72 ,,," 248,000 ", 2 ,,," 106,362,000 "," 1,737 "," 14,639,000 ",,TX0790474,N,Municipal Long,District 
1101799,UTRWD REGIONAL WATER TREATMENT PLANT,water system,,,,,,,,,,,,,,,,,,,,TX0610213,Y,Municipal Short,District 
581900,MT ENTERPRISE WSC,water system,2022.0,N," 2,100 "," 46,213,400 ", 708 ,,," 2,660,300 ", 20 ," 376,300 ", 2 ," 993,400 ", 27 ,,," 50,243,400 ", 757 ,,,TX2010023,N,Municipal Long,Water Supply Corporation
1104223,TARRANT REGIONAL WATER DISTRICT,water system,,,,,,,,,,,,,,,,,,,,,,,
298900,CITY OF FORT WORTH,water system,2022.0,N," 955,900 "," 24,184,320,777 "," 264,888 "," 2,236,843,076 "," 3,294 "," 16,245,624,276 "," 23,575 "," 3,427,223,134 ", 603 ,,,,," 46,094,011,263 "," 292,360 "," 727,980,000 "," 25,320 ",TX2200012,N,Municipal Long,Municipal
144038,CENTRAL TEXAS WSC,water system,,,,,,,,,,,,,,,,,,,,TX0140161,Y,Municipal Short,Water Supply Corporation
846000,CITY OF TEMPLE,water system,2022.0,N," 89,112 "," 3,068,630,481 "," 30,496 "," 437,198,256 "," 8,974 "," 780,530,070 "," 2,321 "," 627,476,717 ", 52 ," 656,647,966 ", 826 ," 2,056,200 ", 5 ," 7,168,233,690 "," 42,677 "," 13,295,076 "," 5,000 ",TX0140005,N,Municipal Long,Municipal
SEYMOUR AQUIFER,SEYMOUR AQUIFER,water source,,,,,,,,,,,,,,,,,,,,,,,
607468,NORTH CENTRAL TEXAS MUNICIPAL WATER AUTH,water system,2022.0,N, 132 ," 3,374,345 ", 39 ,,," 1,816,955 ", 58 ,,,,,,," 5,191,300 ", 97 ,,,TX1380009,N,Municipal Long,Authority
BRAZOS-COLORADO BASIN,BRAZOS-COLORADO BASIN,water source,,,,,,,,,,,,,,,,,,,,,,,
25,ATHENS MUNICIPAL WATER AUTHORITY,water system,,,,,,,,,,,,,,,,,,,,TX1070252,Y,Municipal Short,Authority
TOWN LAKE/RESERVOIR,TOWN LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
480,LCRA LAKE TRAVIS,water system,,,,,,,,,,,,,,,,,,,,,,,
41010,CITY OF AUSTIN WATER & WASTEWATER,water system,2022.0,N," 1,080,270 "," 16,574,970,200 "," 224,266 "," 11,745,294,000 "," 6,755 "," 11,262,707,700 "," 18,009 "," 3,601,480,900 ", 10 ," 1,106,477,700 "," 1,295 ",,," 46,050,818,040 "," 250,518 "," 130,718,284 ",,TX2270001,N,Municipal Long,Municipal
SAN ANTONIO-NUECES BASIN,SAN ANTONIO-NUECES BASIN,water source,,,,,,,,,,,,,,,,,,,,,,,
723400,CITY OF RHOME,water system,2022.0,N," 1,774 "," 32,727,039 ", 535 ," 852,059 ", 1 ," 12,707,949 ", 54 ,,," 4,650,000 ", 12 ,,," 50,937,047 ", 602 ," 1,545,150 ", 6 ,TX2490007,N,Municipal Long,Municipal
60,NORTHEAST TEXAS MWD,water system,,,,,,,,,,,,,,,,,,,,TX1580065,Y,Municipal Short,District 
195,EAGLE MOUNTAIN,water system,,,,,,,,,,,,,,,,,,,,,,,
44500,CITY OF AZLE,water system,2022.0,N," 13,608 "," 605,220,711 "," 5,606 ",,," 25,347,669 ", 606 ,,," 51,795,660 ", 107 ,,," 682,364,040 "," 6,319 "," 17,372,461 ",,TX2200002,N,Municipal Long,Municipal
325,BRAZOS RIVER SYSTEM,water system,,,,,,,,,,,,,,,,,,,,,,,
BAIRD LAKE/RESERVOIR,BAIRD LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
342282,GREEN TRAILS MUD,water system,2022.0,N," 3,000 "," 116,679,000 ", 680 ," 17,034,000 ", 274 ," 4,670,000 ", 19 ,,," 12,362,000 ", 23 ," 1,004,000 ", 4 ," 151,749,000 "," 1,000 ",,,TX1011839,N,Municipal Long,District 
BALLINGER / MOONEN LAKE/RESERVOIR,BALLINGER / MOONEN LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
569950,MILLERSVIEW-DOOLE WSC,water system,2022.0,N," 4,000 "," 107,654,300 "," 1,824 "," 2,183,800 ", 3 ," 17,934,600 ", 45 ,,," 3,162,400 ", 15 ,,," 130,935,100 "," 1,887 ",,,TX0480015,N,Municipal Long,Water Supply Corporation
689500,PONDEROSA FOREST UTILITY DISTRICT,water system,2022.0,N," 10,284 "," 93,682,000 "," 1,014 "," 146,879,000 "," 2,192 "," 65,724,000 ", 160 ,,," 474,000 ", 1 ," 12,165,000 ", 61 ," 318,924,000 "," 3,428 "," 25,950,000 ",,TX1010384,N,Municipal Long,District 
51012,BAMMEL UTILITY DISTRICT,water system,2022.0,N," 4,041 "," 112,809,001 "," 1,283 ",,," 17,419,000 ", 53 ,,," 2,672,000 ", 11 ,,," 176,700,001 "," 1,347 "," 2,603,087 ",,TX1010365,N,Municipal Long,District 
370044,HARRIS COUNTY MUD 44,water system,2022.0,N," 2,301 "," 82,995,800 ", 738 ,,," 7,100,000 ", 29 ,,,,,,," 90,095,800 ", 767 ," 866,426 ",,TX1010718,N,Municipal Long,District 
371200,NORTH HARRIS COUNTY REGIONAL WATER AUTHORITY,water system,,,,,,,,,,,,,,,,,,,,TX1013298,Y,Municipal Short,Authority
450,BROWN COUNTY WCID,water system,,,,,,,,,,,,,,,,,,,,,,,
51700,CITY OF BANGS,water system,2022.0,N," 2,913 "," 33,394,819 ", 804 ," 34,247,557 ", 4 ," 8,194,326 ", 57 ,,," 34,554,116 ", 47 ,,," 110,390,818 ", 912 ," 188,150 ", 16 ,TX0250001,N,Municipal Long,Municipal
754100,RURAL BARDWELL WSC,water system,2022.0,N, 777 ," 15,868,000 ", 299 ,,," 323,000 ", 5 ," 5,602,000 ", 1 ," 2,164,000 ", 4 ," 392,000 ", 2 ," 24,349,000 ", 311 ,,,TX0700023,N,Municipal Long,Water Supply Corporation
COLORADO BASIN,COLORADO BASIN,water source,,,,,,,,,,,,,,,,,,,,,,,
60175,B & B WSC,water system,2022.0,N," 1,744 "," 95,371,100 ", 872 ,,,,,,,,,,," 95,371,100 ", 872 ,,,TX1750028,N,Municipal Long,Water Supply Corporation
654200,CITY OF PECOS,water system,2022.0,N," 12,673 "," 279,969,000 "," 3,485 "," 31,499,000 ", 96 ," 279,644,000 ", 597 ," 5,479,000 ", 2 ," 66,226,000 ", 89 ,,," 662,817,000 "," 4,269 ",,,TX1950001,N,Municipal Long,Municipal
332750,CITY OF GORDON,water system,2022.0,N, 625 ," 12,795,316 ", 170 ," 10,244,458 ", 135 ," 3,379,585 ", 40 ," 269,591 ", 5 ,,," 270,150 ", 5 ," 26,959,100 ", 355 ," 729,635 ", 3 ,TX1820007,N,Municipal Long,Municipal
871716,TRAVIS COUNTY MUD 4,water system,2022.0,N," 3,646 "," 370,187,000 ", 841 ," 28,787,000 ", 6 ," 322,704,000 ", 85 ,,," 4,377,000 ", 3 ,,," 726,055,000 ", 935 ,,,TX2270325,N,Municipal Long,District 
891348,WEST TRAVIS COUNTY PUBLIC UTILITY AGENCY,water system,2022.0,N," 28,218 "," 1,673,754,000 "," 9,149 "," 196,224,000 ", 261 ," 132,850,000 ", 330 ,,," 7,907,000 ", 55 ,,," 2,010,735,000 "," 9,795 ",,,TX2270235,N,Municipal Long,Authority
31500,AQUA WSC,water system,2022.0,N," 74,205 "," 2,463,375,713 "," 24,735 ",,," 385,237,758 ", 183 ," 10,856,100 ", 1 ," 38,643,300 ", 132 ,,," 2,898,112,871 "," 25,051 "," 91,813,398 ", 13 ,TX0110013,N,Municipal Long,Water Supply Corporation
396200,CITY OF HOUSTON,water system,2022.0,N," 2,529,611 "," 24,543,987,000 "," 426,872 "," 27,995,586,000 "," 616,755 "," 24,262,804,000 "," 57,428 "," 1,770,954,000 ", 253 ," 6,062,976,000 "," 4,344 ",,," 84,673,987,000 "," 1,105,660 "," 1,080,762,000 ", 1 ,TX1010013,N,Municipal Long,Municipal
535858,MANVILLE WSC,water system,2022.0,N," 39,471 "," 1,082,029,108 "," 11,761 "," 36,204,470 "," 1,229 "," 209,149,770 ", 570 ,,,,," 14,765,575 ", 38 ," 1,342,148,923 "," 13,598 "," 110,055,791 ", 712 ,TX2270033,N,Municipal Long,Water Supply Corporation
15,UNSPECIFIED SYSTEM/FACILITY,water system,,,,,,,,,,,,,,,,,,,,,,,
190,CEDAR CREEK RESERVOIR,water system,,,,,,,,,,,,,,,,,,,,,,,
458650,CITY OF KAUFMAN,water system,2022.0,N," 8,414 "," 146,474,000 "," 2,278 "," 26,774,000 ", 41 ," 94,762,000 ", 425 ," 8,536,000 ", 1 ," 7,453,000 ", 34 ,,," 283,999,000 "," 2,779 "," 2,259,805 ", 4 ,TX1290003,N,Municipal Long,Municipal
185,TRINITY RIVER AUTHORITY-ARLINGTON DAM 08120,water system,,,,,,,,,,,,,,,,,,,,,,,
76100,BISSONNET MUD,water system,2022.0,N," 8,223 "," 160,992,000 "," 2,257 "," 33,515,000 ", 467 ," 14,639,000 ", 46 ,,," 3,230,000 ", 6 ,,," 212,376,000 "," 2,776 "," 1,516,350 ", 1 ,TX1010883,N,Municipal Long,District 
808303,SOUTH SABINE WSC,water system,2022.0,N," 2,708 "," 41,405,000 ", 916 ,,," 677,000 ", 10 ,,,,,,," 42,082,000 "," 1,083 "," 1,200,000 ", 157 ,TX2020070,N,Municipal Long,Water Supply Corporation
378851,BELL COUNTY WCID 1,water system,,,,,,,,,,,,,,,,,,,,TX0140016,N,Municipal Short,District 
SPARTA AQUIFER,SPARTA AQUIFER,water source,,,,,,,,,,,,,,,,,,,,,,,
1104842,A&V WATER,water system,,,,,,,,,,,,,,,,,,,,,,,
BENBROOK LAKE/RESERVOIR,BENBROOK LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
SULPHUR BASIN,SULPHUR BASIN,water source,,,,,,,,,,,,,,,,,,,,,,,
72150,BETHESDA WSC,water system,2022.0,N," 32,607 "," 1,506,691,000 "," 10,592 "," 34,272,000 ", 17 ," 88,315,000 ", 166 ," 74,884,000 ", 15 ," 27,261,000 ", 15 ,,," 1,731,423,000 "," 10,805 ",, 159 ,TX1260017,N,Municipal Long,Water Supply Corporation
35000,CITY OF ARLINGTON,water system,2022.0,N," 401,893 "," 10,157,776,000 "," 100,142 "," 3,202,767,000 "," 48,793 "," 3,373,365,000 "," 5,194 "," 660,346,000 ", 43 ," 805,050,000 ", 299 ,,," 18,199,304,000 "," 154,471 ",,,TX2200001,N,Municipal Long,Municipal
1102216,REAGAN COUNTY WSD,water system,,,,,,,,,,,,,,,,,,,,TX1920007,Y,Municipal Short,District 
1102701,NORTH FORT BEND WATER AUTHORITY,water system,,,,,,,,,,,,,,,,,,,,TX0790511,Y,Municipal Short,Authority
931834,WEST HARRISON WSC,water system,2022.0,N," 1,794 "," 44,091,600 ", 598 ," 4,711,900 ", 32 ," 391,600 ", 7 ," 289,700 ", 4 ," 187,500 ", 7 ," 659,000 ", 4 ," 50,331,300 ", 652 ," 1,182,500 ", 54 ,TX1020078,N,Municipal Long,Water Supply Corporation
QUEEN CITY AQUIFER,QUEEN CITY AQUIFER,water source,,,,,,,,,,,,,,,,,,,,,,,
500,J B THOMAS RESERVOIR,water system,,,,,,,,,,,,,,,,,,,,,,,
63243,BEECHNUT MUD,water system,2022.0,N," 2,481 "," 25,703,000 ", 349 ," 21,024,000 ", 454 ," 8,183,000 ", 14 ,,," 12,758,000 ", 18 ,,," 67,668,000 ", 835 ," 1,284,050 ", 1 ,TX1012082,N,Municipal Long,District 
MEXIA LAKE/RESERVOIR,MEXIA LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
739400,CITY OF ROCKWALL,water system,2022.0,N," 49,300 "," 1,793,573,200 "," 17,936 "," 98,324,100 ", 146 ," 652,230,789 "," 1,699 "," 38,709,200 ", 22 ," 109,234,700 ", 236 ,,," 2,692,071,989 "," 20,039 "," 113,944,268 ",,TX1990001,N,Municipal Long,Municipal
133118,CLWSC CANYON LAKE SHORES,water system,2022.0,N," 41,106 "," 900,168,799 "," 11,601 "," 3,889,600 ", 13 ," 159,179,347 ", 403 ,,," 36,028,800 ", 22 ,,," 1,099,266,546 "," 12,039 ",,,TX0460019,N,Municipal Long,Private/IOU
970040,ZEPHYR WSC,water system,2022.0,N," 7,500 "," 136,443,228 "," 2,475 ",,," 1,709,300 ", 11 ,,," 1,993,900 ", 15 ,,," 140,146,428 "," 2,501 "," 2,676,660 ", 223 ,TX0250019,N,Municipal Long,Water Supply Corporation
746600,CITY OF ROUND ROCK,water system,2022.0,N," 128,065 "," 3,615,048,000 "," 34,259 "," 559,437,000 ", 403 ," 1,375,426,000 "," 1,452 ",,," 249,171,000 ", 362 ," 506,888,000 ", 730 ," 6,673,250,100 "," 37,262 ",,,TX2460003,N,Municipal Long,Municipal
141050,CITY OF CEDAR PARK,water system,2022.0,N," 85,990 "," 2,536,676,645 "," 21,873 "," 592,361,260 "," 7,719 "," 529,447,420 "," 1,068 "," 75,750,050 ", 43 ," 290,801,850 ", 419 ,,," 4,222,518,025 "," 31,125 "," 59,346,000 ",,TX2460009,N,Municipal Long,Municipal
482989,LAMAR COUNTY WATER SUPPLY DISTRICT,water system,2022.0,N," 25,476 "," 605,885,881 "," 10,035 "," 17,147,144 ", 284 ," 1,871,695 ", 31 ," 845,282 ", 14 ," 60,377 ", 1 ," 2,052,827 ", 34 ," 627,863,206 "," 10,399 "," 526,101 ", 19 ,TX1390015,N,Municipal Long,District 
370304,HARRIS COUNTY MUD 304,water system,2022.0,N," 6,006 "," 140,419,000 "," 1,963 "," 13,516,000 ", 2 ," 3,115,000 ", 9 ,,," 11,857,000 ", 26 ," 2,556,000 ", 2 ," 171,463,000 "," 2,002 "," 12,008,000 ",,TX1012941,N,Municipal Long,District 
1102023,BRAZOS RIVER AUTHORITY GRANGER LAKE REGI,water system,,,,,,,,,,,,,,,,,,,,TX2460155,Y,Municipal Short,Authority
84000,CITY OF BOERNE,water system,2022.0,N," 24,063 "," 600,259,400 "," 6,499 "," 47,676,200 "," 1,600 "," 202,093,800 ", 692 ,,," 113,946,900 ", 166 ,,," 1,148,705,550 "," 9,826 "," 3,499,379 ", 99 ,TX1300001,N,Municipal Long,Municipal
