Year,TWDB Seller Survey No,PWS Name,Seller County,Seller Water Type, Seller Volume Reported ,Buyer Survey No,Buyer Name,Buyer Water Type, Buyer Volume Reported ,Buyer NAICS Code, Volume Used In Net Use ,Volume Source Used In Net Use
2022,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,17600,AMARILLO MWS,N/A," 9,911,870,000 ",N/A," 9,911,870,000 ",BUYER-VOLUME
2022,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,36100,ASARCO LLC-AMARILLO COPPER REFINERY,Groundwater," 400,000 ",331410," 400,000 ",BUYER-VOLUME
2022,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,99200,CITY OF BROWNFIELD,Surface Water," 418,320,000 ",N/A," 418,320,000 ",BUYER-VOLUME
2022,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,492400,CITY OF LEVELLAND,N/A," 557,686,000 ",N/A," 557,686,000 ",BUYER-VOLUME
2022,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,N/A," 8,814,154,000 ",N/A," 8,814,154,000 ",BUYER-VOLUME
2022,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,622000,CITY OF ODONNELL,Surface Water," 39,606,000 ",N/A," 39,606,000 ",BUYER-VOLUME
2022,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,642200,CITY OF PAMPA,Surface Water," 945,465,000 ",N/A," 945,465,000 ",BUYER-VOLUME
2022,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,684600,CITY OF PLAINVIEW,N/A," 807,410,000 ",N/A," 807,410,000 ",BUYER-VOLUME
2022,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,801800,CITY OF SLATON,N/A," 338,888,000 ",N/A," 338,888,000 ",BUYER-VOLUME
2022,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,842000,CITY OF TAHOKA,N/A," 108,640,000 ",N/A," 108,640,000 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,72050,GEORGIA PACIFIC GYPSUM LLC,Surface Water," 22,362,100 ",327420," 22,362,100 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,149000,CITY OF CHILDRESS,Surface Water," 383,933,759 ",N/A," 383,933,759 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,149800,CITY OF CHILLICOTHE,Surface Water," 10,389,700 ",N/A," 10,389,700 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,156200,CITY OF CLARENDON,Surface Water," 63,515,000 ",N/A," 63,515,000 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,195400,CITY OF CROWELL,Surface Water," 56,322,235 ",N/A," 56,322,235 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,378800,CITY OF HEDLEY,Surface Water," 11,382,000 ",N/A," 11,382,000 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,555800,CITY OF MEMPHIS,Surface Water," 1,882,430 ",N/A," 1,882,430 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,708800,CITY OF QUANAH,Surface Water," 117,442,000 ",N/A," 117,442,000 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721154,RED RIVER AUTHORITY-TURKEY ESTELLINE WS,Surface Water," 25,003,000 ",N/A," 25,003,000 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721156,RED RIVER AUTHORITY-TRUSCOTT GILLILAND WS,Surface Water," 4,129,900 ",N/A," 4,129,900 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721160,RED RIVER AUTHORITY-KIRKLAND LAZARE WS,Surface Water," 7,859,900 ",N/A," 7,859,900 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721168,RED RIVER AUTHORITY-FARMERS VALLEY WS,Surface Water," 3,994,720 ",N/A," 3,994,720 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721172,RED RIVER AUTHORITY-TELL CEE VEE WS,Surface Water," 38,847,000 ",N/A," 38,847,000 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721173,RED RIVER AUTHORITY-NORTHEAST CHILDRESS WS,Surface Water," 24,841,000 ",N/A," 24,841,000 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721174,RED RIVER AUTHORITY-CAREY NORTHFIELD WS,Surface Water," 13,621,000 ",N/A," 13,621,000 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721175,RED RIVER AUTHORITY-GARDEN VALLEY WS,Surface Water," 8,842,000 ",N/A," 8,842,000 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721176,RED RIVER AUTHORITY-SAIED ADDITION WS,Surface Water," 2,001,000 ",N/A," 2,001,000 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721177,RED RIVER AUTHORITY-GREENBELT LAKE LOTS  WS,Surface Water," 4,177,300 ",N/A," 4,177,300 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721178,RED RIVER AUTHORITY-FOARD COUNTY WS,Surface Water," 12,738,400 ",N/A," 12,738,400 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721183,RED RIVER AUTHORITY-NEWLIN WS,Surface Water," 9,635,500 ",N/A," 9,635,500 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721185,RED RIVER AUTHORITY-CLUB LAKE/MEMPHIS NE WS,Surface Water," 2,595,700 ",N/A," 2,595,700 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721189,RED RIVER AUTHORITY-MEDICINE MOUND WS,Surface Water," 32,489,820 ",N/A," 32,489,820 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721190,RED RIVER AUTHORITY-NORTHEAST QUANAH WS,Surface Water," 19,326,000 ",N/A," 19,326,000 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721191,RED RIVER AUTHORITY-NEW GOODLETT WS,Surface Water," 2,335,470 ",N/A," 2,335,470 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721192,RED RIVER AUTHORITY-SOUTHWEST QUANAH  WS,Surface Water," 4,041,390 ",N/A," 4,041,390 ",BUYER-VOLUME
2023,20,GREENBELT MIWA,DONLEY,N/A, -   ,721198,RED RIVER AUTHORITY-OLD GOODLETT  WS,Surface Water," 2,282,410 ",N/A," 2,282,410 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,72050,GEORGIA PACIFIC GYPSUM LLC,Surface Water," 64,146,900 ",327420," 64,146,900 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,149000,CITY OF CHILDRESS,Surface Water," 383,933,759 ",N/A," 383,933,759 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,149800,CITY OF CHILLICOTHE,Surface Water," 10,389,700 ",N/A," 10,389,700 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,156200,CITY OF CLARENDON,Surface Water," 73,000,000 ",N/A," 73,000,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,195400,CITY OF CROWELL,Surface Water," 53,156,900 ",N/A," 53,156,900 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,378800,CITY OF HEDLEY,Surface Water," 11,382,000 ",N/A," 11,382,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,555800,CITY OF MEMPHIS,Surface Water," 830,970 ",N/A," 830,970 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,708800,CITY OF QUANAH,Surface Water," 109,375,400 ",N/A," 109,375,400 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721154,RED RIVER AUTHORITY-TURKEY ESTELLINE WS,Surface Water," 28,370,000 ",N/A," 28,370,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721156,RED RIVER AUTHORITY-TRUSCOTT GILLILAND WS,Surface Water," 5,642,000 ",N/A," 5,642,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721160,RED RIVER AUTHORITY-KIRKLAND LAZARE WS,Surface Water," 7,875,000 ",N/A," 7,875,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721168,RED RIVER AUTHORITY-FARMERS VALLEY WS,Surface Water," 4,282,000 ",N/A," 4,282,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721172,RED RIVER AUTHORITY-TELL CEE VEE WS,Surface Water," 40,407,000 ",N/A," 40,407,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721173,RED RIVER AUTHORITY-NORTHEAST CHILDRESS WS,Surface Water," 16,812,000 ",N/A," 16,812,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721174,RED RIVER AUTHORITY-CAREY NORTHFIELD WS,Surface Water," 15,029,000 ",N/A," 15,029,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721175,RED RIVER AUTHORITY-GARDEN VALLEY WS,Surface Water," 9,401,000 ",N/A," 9,401,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721176,RED RIVER AUTHORITY-SAIED ADDITION WS,Surface Water," 2,007,000 ",N/A," 2,007,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721177,RED RIVER AUTHORITY-GREENBELT LAKE LOTS  WS,Surface Water," 5,745,000 ",N/A," 5,745,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721178,RED RIVER AUTHORITY-FOARD COUNTY WS,Surface Water," 18,502,000 ",N/A," 18,502,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721183,RED RIVER AUTHORITY-NEWLIN WS,Surface Water," 11,090,000 ",N/A," 11,090,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721185,RED RIVER AUTHORITY-CLUB LAKE/MEMPHIS NE WS,Surface Water," 2,952,000 ",N/A," 2,952,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721189,RED RIVER AUTHORITY-MEDICINE MOUND WS,Surface Water," 27,458,000 ",N/A," 27,458,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721190,RED RIVER AUTHORITY-NORTHEAST QUANAH WS,Surface Water," 14,754,000 ",N/A," 14,754,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721191,RED RIVER AUTHORITY-NEW GOODLETT WS,Surface Water," 2,985,000 ",N/A," 2,985,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721192,RED RIVER AUTHORITY-SOUTHWEST QUANAH  WS,Surface Water," 5,732,000 ",N/A," 5,732,000 ",BUYER-VOLUME
2022,20,GREENBELT MIWA,DONLEY,N/A, -   ,721198,RED RIVER AUTHORITY-OLD GOODLETT  WS,Surface Water," 3,249,000 ",N/A," 3,249,000 ",BUYER-VOLUME
2023,25,ATHENS MUNICIPAL WATER AUTHORITY,HENDERSON,N/A, -   ,38200,CITY OF ATHENS,N/A," 866,955,000 ",N/A," 866,955,000 ",BUYER-VOLUME
2022,25,ATHENS MUNICIPAL WATER AUTHORITY,HENDERSON,N/A, -   ,38200,CITY OF ATHENS,N/A," 689,700,000 ",N/A," 689,700,000 ",BUYER-VOLUME
2023,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,43000,CITY OF AVINGER,Surface Water," 22,778,000 ",N/A," 22,778,000 ",BUYER-VOLUME
2023,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,205200,CITY OF DAINGERFIELD,Surface Water," 145,778,000 ",N/A," 145,778,000 ",BUYER-VOLUME
2023,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,227570,DIANA SUD,Surface Water," 104,747,000 ",N/A," 104,747,000 ",BUYER-VOLUME
2023,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,368780,HARLETON WSC,Surface Water," 17,100,000 ",N/A," 17,100,000 ",BUYER-VOLUME
2023,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,370395,MIMS WSC,Surface Water," 52,335,000 ",N/A," 52,335,000 ",BUYER-VOLUME
2023,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,399600,CITY OF HUGHES SPRINGS,Surface Water," 181,698,000 ",N/A," 181,698,000 ",BUYER-VOLUME
2023,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,508750,CITY OF LONE STAR,Surface Water," 74,667,000 ",N/A," 74,667,000 ",BUYER-VOLUME
2023,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,512010,CITY OF LONGVIEW,Surface Water," 1,480,614,808 ",N/A," 1,480,614,808 ",BUYER-VOLUME
2023,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,811401,SOUTHWESTERN ELECTRIC POWER COMPANY-WELSH POWER PLANT,Surface Water," 717,198,051 ",221112," 717,198,051 ",BUYER-VOLUME
2023,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,811425,SOUTHWESTERN ELECTRIC POWER COMPANY-SWEPCO PIRKEY POWER PLANT,Surface Water," 621,023,534 ",221112," 621,023,534 ",BUYER-VOLUME
2023,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,811450,SOUTHWESTERN ELECTRIC POWER COMPANY-WILKES POWER PLANT,Surface Water," 189,360,000 ",221112," 189,360,000 ",BUYER-VOLUME
2023,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,876750,TRYON ROAD SUD,Surface Water," 250,188,000 ",N/A," 250,188,000 ",BUYER-VOLUME
2022,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,43000,CITY OF AVINGER,Surface Water," 18,039,000 ",N/A," 18,039,000 ",BUYER-VOLUME
2022,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,205200,CITY OF DAINGERFIELD,Surface Water," 142,399,000 ",N/A," 142,399,000 ",BUYER-VOLUME
2022,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,227570,DIANA SUD,Surface Water," 86,208,800 ",N/A," 86,208,800 ",BUYER-VOLUME
2022,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,368780,HARLETON WSC,Surface Water," 17,100,000 ",N/A," 17,100,000 ",BUYER-VOLUME
2022,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,370395,MIMS WSC,Surface Water," 54,498,000 ",N/A," 54,498,000 ",BUYER-VOLUME
2022,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,399600,CITY OF HUGHES SPRINGS,Surface Water," 164,106,000 ",N/A," 164,106,000 ",BUYER-VOLUME
2022,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,508750,CITY OF LONE STAR,Surface Water," 74,667,000 ",N/A," 74,667,000 ",BUYER-VOLUME
2022,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,511600,U S STEEL TUBULAR PRODUCTS INC,N/A, -   ,331210, -   ,BUYER-VOLUME
2022,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,512010,CITY OF LONGVIEW,Surface Water," 1,675,411,794 ",N/A," 1,675,411,794 ",BUYER-VOLUME
2022,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,811401,SOUTHWESTERN ELECTRIC POWER COMPANY-WELSH POWER PLANT,Surface Water," 1,860,935,061 ",221112," 1,860,935,061 ",BUYER-VOLUME
2022,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,811425,SOUTHWESTERN ELECTRIC POWER COMPANY-SWEPCO PIRKEY POWER PLANT,Surface Water," 1,970,352,000 ",221112," 1,970,352,000 ",BUYER-VOLUME
2022,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,811450,SOUTHWESTERN ELECTRIC POWER COMPANY-WILKES POWER PLANT,Surface Water," 508,979,262 ",221112," 508,979,262 ",BUYER-VOLUME
2022,60,NORTHEAST TEXAS MWD,MARION,N/A, -   ,876750,TRYON ROAD SUD,Surface Water," 260,663,000 ",N/A," 260,663,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,20750,TOTAL PETROCHEMICALS & REFINING USA INC PORT ARTHUR PLANT,Surface Water," 2,950,273,344 ",324110," 2,950,273,344 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,74700,AIR LIQUIDE AMERICA CORPORATION-LARGE INDUSTRIES USLP,Surface Water," 9,817,900,000 ",325120," 9,817,900,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,85800,BOLIVAR PENINSULA SUD,Surface Water," 422,553,000 ",N/A," 422,553,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,242800,JEFFERSON TERMINAL SOUTH LLC,Surface Water," 2,922,620,000 ",325110," 2,922,620,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,332620,GOODYEAR TIRE & RUBBER COMPANY-BEAUMONT CHEMICAL PLANT,Surface Water," 1,608,226,000 ",325212," 1,608,226,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,344800,CITY OF GROVES,Surface Water," 872,166,000 ",N/A," 872,166,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,346460,THE PREMCOR REFINING GROUP INC-PORT ARTHUR REFINERY,Surface Water," 8,770,907,506 ",324110," 8,770,907,506 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,436920,JEFFERSON COUNTY WCID 10,Surface Water," 213,738,000 ",N/A," 213,738,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,573520,EXXON MOBIL CORPORATION-BEAUMONT REFINERY,Surface Water," 7,475,400,000 ",324110," 7,475,400,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,573561,EXXON MOBIL CORPORATION-BEAUMONT CHEMICAL PLANT,Surface Water," 1,908,711,020 ",325199," 1,908,711,020 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,573563,EXXON MOBIL CORPORATION-BEAUMONT POLYETHYLENE PLANT,Surface Water," 1,136,007,000 ",325211," 1,136,007,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,597050,CITY OF NEDERLAND,Surface Water," 880,952,000 ",N/A," 880,952,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,623590,CHEMTRADE REFINERY SERVICES INC,Surface Water," 102,380,000 ",325180," 102,380,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,656302,ARKEMA INC-FINE CHEMICALS GROUP,Surface Water," 114,550,000 ",325199," 114,550,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,690350,CITY OF PORT ARTHUR,Surface Water," 7,911,051,000 ",N/A," 7,911,051,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,691750,CITY OF PORT NECHES,Surface Water," 691,331,000 ",N/A," 691,331,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,847575,INDORAMA VENTURES OXIDES LLC-PORT NECHES OPERATIONS,Surface Water," 7,446,657,000 ",325110," 7,446,657,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,850400,MOTIVA ENTERPRISES LLC-PORT ARTHUR REFINERY,Surface Water," 11,276,622,000 ",324110," 11,276,622,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,886540,Linde Inc.-GROVES PLANT,Surface Water," 360,000 ",325120," 360,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,886760,PHILLIPS 66 PIPELINE LLC-BEAUMONT TERMINAL,Surface Water," 7,142,400 ",424710," 7,142,400 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,900800,BASF CORPORATION-BEAUMONT PLANT,Surface Water," 245,659,636 ",325320," 245,659,636 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,931905,WEST JEFFERSON COUNTY MWD,Surface Water," 342,630,000 ",N/A," 342,630,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,952400,TRINITY BAY CONSERVATION DISTRICT-WINNIE & STOWELL SYSTEMS,Surface Water," 305,269,000 ",N/A," 305,269,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,1103369,BASF CORPORATION-PORT ARTHUR PLANT,Surface Water," 2,698,040,000 ",325110," 2,698,040,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,1103560,TEXAS PETROCHEMICAL - JEFFERSON,Surface Water," 1,079,666,000 ",424690," 1,079,666,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,1103748,AGL CONSTRUCTORS,N/A, -   ,324121, -   ,BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,1104954,NATGASOLINE LLC,Surface Water," 1,278,382,861 ",325120," 1,278,382,861 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,1106342,ENERGY TRANSFER PARTNERS,Surface Water," 708,578,000 ",339999," 708,578,000 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,1106343,WSP USA,Surface Water," 7,716,275 ",541330," 7,716,275 ",BUYER-VOLUME
2023,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,1106571,ENBRIDGE MOSS BLUFF HUB LLC,N/A, -   ,486210, -   ,BUYER-VOLUME
2022,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,20750,TOTAL PETROCHEMICALS & REFINING USA INC PORT ARTHUR PLANT,Surface Water," 2,945,847,387 ",324110," 2,945,847,387 ",BUYER-VOLUME
2022,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,74700,AIR LIQUIDE AMERICA CORPORATION-LARGE INDUSTRIES USLP,Surface Water," 75,452,000 ",325120," 75,452,000 ",BUYER-VOLUME
2022,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,85800,BOLIVAR PENINSULA SUD,Surface Water," 419,076,000 ",N/A," 419,076,000 ",BUYER-VOLUME
2022,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,242800,JEFFERSON TERMINAL SOUTH LLC,Surface Water," 2,784,500,000 ",325110," 2,784,500,000 ",BUYER-VOLUME
2022,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,332620,GOODYEAR TIRE & RUBBER COMPANY-BEAUMONT CHEMICAL PLANT,Surface Water," 1,667,551,000 ",325212," 1,667,551,000 ",BUYER-VOLUME
2022,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,344800,CITY OF GROVES,Surface Water," 764,427,000 ",N/A," 764,427,000 ",BUYER-VOLUME
2022,140,LOWER NECHES VALLEY AUTHORITY,JEFFERSON,N/A, -   ,346460,THE PREMCOR REFINING GROUP INC-PORT ARTHUR REFINERY,Surface Water," 8,508,581,632 ",324110," 8,508,581,632 ",BUYER-VOLUME
