TWDB Survey Number,TCEQ PWS Code,PWS Name,Wholesale System?,Water Use Survey Form Type,PWS System Class
8960,TX1011019,ADDICKS UTILITY DISTRICT,N,Municipal Long,District 
9000,TX0570031,TOWN OF ADDISON,N,Municipal Long,Municipal
9600,TX1710021,MOORTEX WSC,N,Municipal Long,Water Supply Corporation
9800,TX1800003,ADRIAN MUNICIPAL WATER SYSTEM,N,Municipal Long,Municipal
9950,TX0370014,AFTON GROVE WSC,N,Municipal Long,Water Supply Corporation
9951,TX1700147,AFTON PARK WATER SYSTEM,N,Municipal Long,Private/IOU
10200,TX1840017,AGNES SUBDIVISION,N,Municipal Long,Private/IOU
10600,TX1780001,CITY OF AGUA DULCE,N,Municipal Long,Municipal
10848,TX0150463,BLUE SKIES OF TEXAS WEST,N,Municipal Long,Private/IOU
10850,TX1650003,AIRLINE CROSSING,N,Municipal Short,Mobile Home Park
10853,TX0430060,AIR PARK ESTATES,N,Municipal Long,Private/IOU
11000,TX1080001,CITY OF ALAMO,N,Municipal Long,Municipal
11200,TX0150039,CITY OF ALAMO HEIGHTS,N,Municipal Long,Municipal
11400,TX2500005,CITY OF ALBA,N,Municipal Long,Municipal
11420,TX2090001,CITY OF ALBANY,N,Municipal Long,Municipal
11425,TX0110045,K & K WATER COMPANY,N,Municipal Long,Private/IOU
11427,TX1012052,ALBURY MANOR UTILITY COMPANY,N,Municipal Long,Private/IOU
11475,TX1010410,ALDINE FOREST,N,Municipal Long,Private/IOU
11477,TX1010825,ALDINE GARDENS MOBILE HOME PARK,N,Municipal Short,Mobile Home Park
11670,TX1840041,ALEDO MOBILE HOME PARK,N,Municipal Short,Mobile Home Park
12200,TX1250001,CITY OF ALICE,N,Municipal Long,Municipal
12900,TX1700187,ALLENDALE WATER SYSTEM,N,Municipal Long,Private/IOU
13000,TX0430025,CITY OF ALLEN,N,Municipal Long,Municipal
13800,TX0220001,CITY OF ALPINE,N,Municipal Long,Municipal
14000,TX0840009,GALVESTON COUNTY WCID 8,N,Municipal Long,District 
15400,TX0370001,CITY OF ALTO,N,Municipal Long,Municipal
15450,TX0370056,ALTO RURAL WSC BRADFORD MT PLANT,N,Municipal Long,Water Supply Corporation
16000,TX1260001,CITY OF ALVARADO,N,Municipal Long,Municipal
16800,TX0200001,CITY OF ALVIN,N,Municipal Long,Municipal
17200,TX2490001,CITY OF ALVORD,N,Municipal Long,Municipal
17600,TX1880001,AMARILLO MUNICIPAL WATER SYSTEM,N,Municipal Long,Municipal
20305,TX1011920,AMBERWOOD SUBDIVISION,N,Municipal Long,Private/IOU
22900,TX1010517,MADING LANE,N,Municipal Long,Private/IOU
23500,TX1460005,AMES MINGLEWOOD WSC,N,Municipal Long,Water Supply Corporation
24000,TX1400006,CITY OF AMHERST,N,Municipal Long,Municipal
24800,TX0360001,CITY OF ANAHUAC,N,Municipal Long,Municipal
25600,TX0930011,ANDERSON WATER SYSTEM,N,Municipal Long,Private/IOU
26080,TX0010046,ANDERSON COUNTY CEDAR CREEK WSC,N,Municipal Long,Water Supply Corporation
28000,TX0020001,CITY OF ANDREWS,N,Municipal Long,Municipal
28125,TX0200361,ANGLECREST SUBDIVISION,N,Municipal Long,Private/IOU
28410,TX0030102,ANGELINA COUNTY FWSD 1,N,Municipal Long,Authority
28500,TX0030016,ANGELINA WSC,N,Municipal Long,Water Supply Corporation
28790,TX0200244,ANGLE ACRES WATER SYSTEM,N,Municipal Long,Private/IOU
28800,TX0200002,CITY OF ANGLETON,N,Municipal Long,Municipal
29000,TX1750010,ANGUS WSC,N,Municipal Long,Water Supply Corporation
29600,TX0430027,CITY OF ANNA,N,Municipal Long,Municipal
29650,TX1940004,CITY OF ANNONA,N,Municipal Long,Municipal
29800,TX1270001,CITY OF ANSON,N,Municipal Long,Municipal
30000,TX0710001,TOWN OF ANTHONY,N,Municipal Long,Municipal
30400,TX1100001,CITY OF ANTON,N,Municipal Long,Municipal
30900,TX1010085,APACHELAND MOBILE HOME SUBDIVISION,N,Municipal Short,Mobile Home Park
31200,TX1740005,APPLEBY WSC,N,Municipal Long,Water Supply Corporation
31400,TX2280004,APPLE SPRINGS WSC,N,Municipal Long,Water Supply Corporation
31460,TX0180081,CRYSTAL CLEAR WHISPERING RIDGE,N,Municipal Long,Private/IOU
31475,TX1330062,AQUA VISTA UTILITIES,N,Municipal Long,Private/IOU
31500,TX0110013,AQUA WSC,N,Municipal Long,Water Supply Corporation
32000,TX1090016,AQUILLA WSC,N,Municipal Long,Water Supply Corporation
32010,TX1090068,AQUILLA WSD,Y,Municipal Short,District 
32605,TX0040042,ARANSAS COUNTY MUD 1,N,Municipal Long,District 
32800,TX2050015,CITY OF ARANSAS PASS,N,Municipal Long,Municipal
33050,TX1011493,MAPLE LEAF MOBILE HOME SUBDIVISION,N,Municipal Short,Mobile Home Park
33660,TX0050001,CITY OF ARCHER CITY,N,Municipal Long,Municipal
33715,TX0050014,ARCHER COUNTY MUD 1,N,Municipal Long,District 
33760,TX0790520,CITY OF ARCOLA,N,Municipal Long,Municipal
33825,TX2350042,ARENOSA CREEK ESTATES,N,Municipal Short,Mobile Home Park
33950,TX0610019,ARGYLE WSC,N,Municipal Long,Water Supply Corporation
34900,TX2010004,ARLAM CONCORD WSC,N,Municipal Long,Water Supply Corporation
34950,TX0740019,ARLEDGE RIDGE WSC,N,Municipal Long,Water Supply Corporation
35000,TX2200001,CITY OF ARLINGTON,N,Municipal Long,Municipal
35200,TX1700447,ARMADILLO WOODS SUBDIVISION,N,Municipal Long,District 
35770,TX0140019,ARMSTRONG WSC,N,Municipal Long,Water Supply Corporation
35800,TX2120001,CITY OF ARP,N,Municipal Long,Municipal
35827,TX0140149,ARROWHEAD HILL WSC,N,Municipal Long,Private/IOU
35830,TX1090038,ARROWHEAD WATER SYSTEM HILL,N,Municipal Long,Private/IOU
35860,TX2270069,ARROYO DOBLE WATER SYSTEM,N,Municipal Long,Private/IOU
36600,TX0640011,CITY OF ASHERTON,N,Municipal Long,Municipal
37400,TX2170001,CITY OF ASPERMONT,N,Municipal Long,Municipal
37470,TX2340007,CALLENDER LAKE,N,Municipal Long,Private/IOU
37472,TX0200029,HOLIDAY SHORES,N,Municipal Long,Private/IOU
37474,TX2290010,IVANHOE LAND OF LAKES,N,Municipal Long,Private/IOU
37476,TX1610058,CAMELOT FOREST WATER SYSTEM,N,Municipal Long,Private/IOU
37477,TX2040008,GOVERNORS POINT,N,Municipal Long,Private/IOU
37478,TX2500058,HOLIDAY VILLAGES OF FORK,N,Municipal Long,Private/IOU
37479,TX2040067,HOLIDAY VILLAGES OF LIVINGSTON,N,Municipal Long,Private/IOU
37905,TX0150040,ATASCOSA RURAL WSC,N,Municipal Long,Water Supply Corporation
38200,TX1070005,CITY OF ATHENS,N,Municipal Long,Municipal
38601,TX1070235,ATHENS WATER SYSTEM COOP,N,Municipal Long,Private/IOU
39000,TX0340001,CITY OF ATLANTA,N,Municipal Long,Municipal
40450,TX1010162,ATASCOCITA VILLAGE MOBILE HOME PARK,N,Municipal Short,Mobile Home Park
40600,TX0610001,CITY OF AUBREY,N,Municipal Long,Municipal
41010,TX2270001,CITY OF AUSTIN WATER & WASTEWATER,N,Municipal Long,Municipal
41105,TX0080040,AUSTIN COUNTY WSC 1,N,Municipal Long,Water Supply Corporation
41106,TX0080041,AUSTIN COUNTY WSC 2,N,Municipal Long,Water Supply Corporation
41107,TX0080043,AUSTIN COUNTY WSC 4,N,Municipal Long,Water Supply Corporation
41108,TX0080045,AUSTIN COUNTY WSC 3,N,Municipal Long,Water Supply Corporation
41400,TX1960006,CITY OF AUSTWELL,N,Municipal Long,Municipal
41860,TX2490051,AURORA VISTA,N,Municipal Long,Private/IOU
42205,TX0700019,AVALON WSC,N,Municipal Long,Water Supply Corporation
42295,TX1940005,CITY OF AVERY,N,Municipal Long,Municipal
43000,TX0340002,CITY OF AVINGER,N,Municipal Long,Municipal
44000,TX1550016,AXTELL WSC,N,Municipal Long,Water Supply Corporation
44055,TX0200017,BLACKS FERRY WATER,N,Municipal Long,Private/IOU
44200,TX1011253,AZALEA ESTATES MOBILE HOME COMMUN,N,Municipal Short,Mobile Home Park
44500,TX2200002,CITY OF AZLE,N,Municipal Long,Municipal
49700,TX0840011,BACLIFF MUD,N,Municipal Long,District 
49725,TX1370032,BAFFIN BAY WSC,N,Municipal Long,Water Supply Corporation
50000,TX0740038,CITY OF BAILEY,N,Municipal Long,Municipal
50225,TX0300001,CITY OF BAIRD,N,Municipal Long,Municipal
50395,TX1012962,BAKER ROAD MUD,N,Municipal Long,District 
50400,TX0570032,CITY OF BALCH SPRINGS,N,Municipal Long,Municipal
50700,TX2000001,CITY OF BALLINGER,N,Municipal Long,Municipal
50720,TX1950002,CITY OF BALMORHEA,N,Municipal Long,Municipal
51000,TX1010096,BAMMEL FOREST UTILITY,N,Municipal Long,Private/IOU
51012,TX1010365,BAMMEL UTILITY DISTRICT,N,Municipal Long,District 
51200,TX0100012,CITY OF BANDERA,N,Municipal Long,Municipal
51201,TX0100059,PECAN GROVE,N,Municipal Long,Water Supply Corporation
51300,TX0100011,BANDERA COUNTY FWSD 1,N,Municipal Long,District 
51350,TX0100017,BANDERA RIVER RANCH 1,N,Municipal Long,Private/IOU
51620,TX0100039,ENCHANTED RIVER ESTATES,N,Municipal Long,Private/IOU
51700,TX0250001,CITY OF BANGS,N,Municipal Long,Municipal
52400,TX1780010,NUECES COUNTY WCID 5,N,Municipal Long,District 
52510,TX1460076,BAR D RANCHETTES,N,Municipal Long,Private/IOU
52800,TX0700020,CITY OF BARDWELL,N,Municipal Long,Municipal
52900,TX1011613,BARKER CYPRESS MUD,N,Municipal Long,District 
53600,TX0690011,BARKSDALE WSC,N,Municipal Long,Water Supply Corporation
54000,TX1180001,BARNHART WSC,N,Municipal Long,Water Supply Corporation
55200,TX1750006,CITY OF BARRY,N,Municipal Long,Municipal
56000,TX2380006,CITY OF BARSTOW,N,Municipal Long,Municipal
56800,TX2460006,CITY OF BARTLETT,N,Municipal Long,Municipal
57000,TX0740021,BARTLEY WOODS WSC,N,Municipal Long,Water Supply Corporation
57070,TX0450022,BARTEN WSC,N,Municipal Long,Private/IOU
57075,TX0720013,BARTON WSC,N,Municipal Long,Water Supply Corporation
57076,TX2270313,BARTON CREEK WSC,N,Municipal Long,Water Supply Corporation
57077,TX2270312,BARTON CREEK WEST WSC,N,Municipal Long,Water Supply Corporation
57100,TX0610020,CROSS TIMBERS WSC,N,Municipal Long,Water Supply Corporation
57110,TX0610116,BAR V K WATER WORKS,N,Municipal Long,Private/IOU
57600,TX0110001,CITY OF BASTROP,N,Municipal Long,Municipal
57680,TX0110047,BASTROP WEST WATER SUPPLY,N,Municipal Long,Private/IOU
57700,TX0200563,BATEMAN WATER WORKS,N,Municipal Long,Private/IOU
57900,TX2540005,BATESVILLE WSC,N,Municipal Long,Water Supply Corporation
58250,TX0040015,HOLIDAY BEACH WSC,N,Municipal Long,Water Supply Corporation
58260,TX0150235,BAVARIAN HILLS,N,Municipal Long,Private/IOU
58290,TX1012698,BAYBROOK MUD 1,N,Municipal Long,District 
58300,TX0360028,BAYRIDGE SUBDIVISION WATER SYSTEM,N,Municipal Long,Private/IOU
58400,TX1610001,CITY OF BAY CITY,N,Municipal Long,Municipal
58610,TX0120004,BAYLOR WSC,N,Municipal Long,Water Supply Corporation
58625,TX2270354,BRIARCREEK SUBDIVISION,N,Municipal Long,Private/IOU
59430,TX1011995,BAYOU FOREST VILLAGE MOBILE HOME PARK,N,Municipal Short,Private/IOU
59455,TX0200570,BAYOU SHADOWS WATER SYSTEM,N,Municipal Long,Private/IOU
59800,TX1960007,TOWN OF BAYSIDE,N,Municipal Long,Municipal
60000,TX1010003,CITY OF BAYTOWN,N,Municipal Long,Municipal
60110,TX1011742,BAYTOWN AREA WATER AUTHORITY,Y,Municipal Short,Authority
60130,TX0840010,BAYVIEW MUD,N,Municipal Long,District 
60134,TX0700058,EMERALD FOREST,N,Municipal Long,Private/IOU
60138,TX1810143,CLAIRE STREET WATER SYSTEM,N,Municipal Long,Private/IOU
60146,TX1810025,LAKEVIEW ESTATES,N,Municipal Long,Private/IOU
60148,TX1810083,SUSAN CIRCLE COMMUNITY WS,N,Municipal Long,Private/IOU
60166,TX1810034,SAWMILL ADDITION,N,Municipal Short,Private/IOU
60170,TX0010015,B B S WSC,N,Municipal Long,Water Supply Corporation
60175,TX1750028,B & B WSC,N,Municipal Long,Water Supply Corporation
60180,TX0010018,B C Y WSC,N,Municipal Long,Water Supply Corporation
60183,TX1090045,BEACHVIEW ACRES WATER ASSOCIATION,N,Municipal Long,Private/IOU
60185,TX1070069,BEACHWOOD ESTATES & NORTH TRINIDAD,N,Municipal Long,Private/IOU
60190,TX2370047,BEACON ESTATES WSC,N,Municipal Long,Water Supply Corporation
60200,TX1230001,CITY OF BEAUMONT WATER UTILITY DEPT,N,Municipal Long,Municipal
60331,TX0100076,BEAR SPRINGS TRAILS SUBDIVISION,N,Municipal Long,Water Supply Corporation
60332,TX1330126,BEAR PAW WATER SYSTEM,N,Municipal Long,Private/IOU
60333,TX2270043,BEAR CREEK PARK,N,Municipal Long,Private/IOU
60335,TX0790014,CITY OF BEASLEY,N,Municipal Long,Municipal
60336,TX1750035,BEATON LAKE ESTATES WATER SYSTEM,N,Municipal Long,Private/IOU
60345,TX1290011,BECKER-JIBA SUD,N,Municipal Long,Water Supply Corporation
60532,TX0790363,BRAZOS LAKES WATER SUPPLY,N,Municipal Long,Private/IOU
62400,TX1830002,CITY OF BECKVILLE,N,Municipal Long,Municipal
62550,TX2200003,CITY OF BEDFORD,N,Municipal Long,Municipal
63240,TX0130003,TYNAN WSC,N,Municipal Long,Water Supply Corporation
63243,TX1012082,BEECHNUT MUD,N,Municipal Long,District 
63245,TX0200245,BEECHWOOD SUBDIVISION,N,Municipal Long,Private/IOU
63247,TX2020014,BEECHWOOD WSC,N,Municipal Long,Water Supply Corporation
63300,TX0130001,CITY OF BEEVILLE,N,Municipal Long,Municipal
63510,TX1550130,BEHRINGER WATER SYSTEM,N,Municipal Long,Private/IOU
64800,TX1010004,CITY OF BELLAIRE,N,Municipal Long,Municipal
65200,TX0390013,CITY OF BELLEVUE,N,Municipal Long,Municipal
65600,TX1550001,CITY OF BELLMEAD,N,Municipal Long,Municipal
65800,TX0140007,BELL MILAM FALLS WSC,N,Municipal Long,Water Supply Corporation
66400,TX0910001,CITY OF BELLS,N,Municipal Long,Municipal
67200,TX0080001,CITY OF BELLVILLE,N,Municipal Long,Municipal
68000,TX0140002,CITY OF BELTON,N,Municipal Long,Municipal
68800,TX0660001,DUVAL COUNTY CRD BENAVIDES,N,Municipal Long,Municipal
69500,TX0210039,BENCHLEY OAKS SUBDIVISION,N,Municipal Long,Private/IOU
69505,TX2200313,BENBROOK HILLS,N,Municipal Long,Private/IOU
69590,TX2200293,BENBROOK VILLAGE MHP,N,Municipal Short,Mobile Home Park
69600,TX2200029,BENBROOK WATER AUTHORITY,N,Municipal Long,Authority
69800,TX0600012,BEN FRANKLIN WSC,N,Municipal Long,Water Supply Corporation
70000,TX1380011,CITY OF BENJAMIN,N,Municipal Long,Municipal
70060,TX0200460,SAN BERNARD RIVER ESTATES,N,Municipal Long,Private/IOU
70125,TX1630034,BENTON CITY WSC,N,Municipal Long,Water Supply Corporation
70165,TX1011828,BENTWOOD ESTATES MHP,N,Municipal Short,Mobile Home Park
70200,TX2340006,BEN WHEELER WSC,N,Municipal Long,Water Supply Corporation
70380,TX0200410,BRIAR MEADOWS,N,Municipal Long,Private/IOU
70400,TX0270012,CITY OF BERTRAM,N,Municipal Long,Municipal
70405,TX0270114,BERTRAM WOODS SUBDIVISION,N,Municipal Long,Private/IOU
70426,TX0460226,BERRY OAKS WATER COMPANY,N,Municipal Long,Private/IOU
70450,TX1070205,CITY OF BERRYVILLE,N,Municipal Long,Municipal
70520,TX1700678,BENDERS LANDING WATER PLANT 1 & 2,N,Municipal Long,Private/IOU
72100,TX1260016,BETHANY SUD,N,Municipal Long,Water Supply Corporation
72130,TX1070034,BETHEL ASH WSC BETHEL PLANT,N,Municipal Long,Water Supply Corporation
72150,TX1260017,BETHESDA WSC,N,Municipal Long,Water Supply Corporation
72153,TX2360029,SHOREWOOD FOREST WATER SYSTEM,N,Municipal Long,Private/IOU
72170,TX0030017,BEULAH WSC,N,Municipal Long,Water Supply Corporation
72180,TX1230049,CITY OF BEVIL OAKS,N,Municipal Long,Municipal
72200,TX0150106,BEXAR COUNTY WCID 10 WINDCREST,N,Municipal Long,District 
72500,TX0150045,SAWS CASTLE HILLS,N,Municipal Long,Municipal
72711,TX1840132,BOURLAND ESTATES WSC,N,Municipal Long,Private/IOU
72750,TX0320002,BI COUNTY WSC 1,N,Municipal Long,Water Supply Corporation
72777,TX1160015,B H P WSC,N,Municipal Long,Water Supply Corporation
72800,TX1920001,CITY OF BIG LAKE,N,Municipal Long,Municipal
72820,TX0790332,BIG OAKS MUD,N,Municipal Long,District 
72855,TX1020061,BIG OAK MHP,N,Municipal Short,Mobile Home Park
73600,TX2300001,CITY OF BIG SANDY,N,Municipal Long,Municipal
73950,TX1140001,CITY OF BIG SPRING,N,Municipal Long,Municipal
74780,TX1630026,COUNTRY VIEW ESTATES,N,Municipal Long,Private/IOU
75200,TX0640012,CITY OF BIG WELLS,N,Municipal Long,Municipal
75300,TX2500019,BIG WOOD SPRINGS WATER SYSTEM,N,Municipal Long,Private/IOU
75655,TX1011872,BILMA PUD,N,Municipal Long,District 
75658,TX1011551,BINFORD PLACE SUBDIVISION,N,Municipal Long,Private/IOU
75900,TX1090017,BIROME WSC,N,Municipal Long,Water Supply Corporation
76000,TX1780002,CITY OF BISHOP,N,Municipal Long,Municipal
76100,TX1010883,BISSONNET MUD,N,Municipal Long,District 
76150,TX1470006,BISTONE MUNICIPAL WATER SUPPLY,N,Municipal Long,District 
77000,TX0370029,BLACKJACK WSC,N,Municipal Long,Water Supply Corporation
77100,TX1990004,BLACKLAND WSC,N,Municipal Long,Water Supply Corporation
77200,TX0610040,BLACK ROCK WSC,N,Municipal Long,Water Supply Corporation
77300,TX2210024,BLAIR WSC,N,Municipal Long,Water Supply Corporation
77600,TX0160002,CITY OF BLANCO,N,Municipal Long,Municipal
77605,TX1050080,GRANITE CREEK WSC,N,Municipal Long,Private/IOU
78400,TX0250013,CITY OF BLANKET,N,Municipal Long,Municipal
78900,TX0400012,BLEDSOE WSC,N,Municipal Long,Water Supply Corporation
79210,TX2460031,BLESSING MOBILE HOME PARK,N,Municipal Short,Mobile Home Park
79215,TX1020077,BLOCKER CROSSROADS WSC,N,Municipal Long,Water Supply Corporation
79225,TX2460110,BLOCK HOUSE MUD,N,Municipal Long,District 
80400,TX0340014,BLOOMBURG WSC,N,Municipal Long,Water Supply Corporation
80800,TX1750001,CITY OF BLOOMING GROVE,N,Municipal Long,Municipal
81600,TX2350001,VICTORIA COUNTY WCID 1,N,Municipal Long,District 
81650,TX1390004,CITY OF BLOSSOM,N,Municipal Long,Municipal
82000,TX1010647,BLUE BELL MANOR SUBDIVISION,N,Municipal Long,Private/IOU
82004,TX1010927,DOGWOOD TREE WATER SYSTEM,N,Municipal Long,Private/IOU
82005,TX1700129,DOGWOOD HILLS,N,Municipal Long,Private/IOU
82007,TX1700287,TURTLE CREEK,N,Municipal Long,Private/IOU
82010,TX1011475,QUAILWOOD WATER SYSTEM,N,Municipal Long,Private/IOU
82015,TX1700128,WALNUT SPRINGS,N,Municipal Long,Private/IOU
82018,TX1700216,OAKWOOD ACRES,N,Municipal Long,Private/IOU
82068,TX1840086,BLUEBONNET HILLS WSC,N,Municipal Long,Water Supply Corporation
82110,TX0140162,BLUEBONNET WSC,Y,Municipal Short,Water Supply Corporation
82120,TX0390014,BLUEGROVE WSC,N,Municipal Long,Water Supply Corporation
82125,TX1070176,CAPE TRANQUILITY SYSTEM,N,Municipal Long,Private/IOU
82400,TX0430002,CITY OF BLUE RIDGE,N,Municipal Long,Municipal
82490,TX1330133,BLUE RIDGE MOBILE HOME PARK,N,Municipal Short,Mobile Home Park
82500,TX0790051,BLUE RIDGE WEST MUD,N,Municipal Long,District 
82900,TX1110079,BLUE WATER SHORES,N,Municipal Long,Private/IOU
83200,TX1090007,CITY OF BLUM,N,Municipal Long,Municipal
83350,TX1200027,TRI COUNTY POINT WATER SYSTEM 2,N,Municipal Long,Private/IOU
84000,TX1300001,CITY OF BOERNE,N,Municipal Long,Municipal
84008,TX0150421,COUNTRY SPRINGS WATER,N,Municipal Long,Private/IOU
84800,TX1940001,CITY OF BOGATA,N,Municipal Long,Municipal
85000,TX1550017,BOLD SPRINGS WSC,N,Municipal Long,Water Supply Corporation
85600,TX2410006,BOLING MWD,N,Municipal Long,District 
85700,TX0610049,BOLIVAR WSC,N,Municipal Long,Water Supply Corporation
85800,TX0840044,BOLIVAR PENINSULA SUD,N,Municipal Long,District 
86400,TX0740001,CITY OF BONHAM,N,Municipal Long,Municipal
86650,TX1760008,BON WIER WSC,N,Municipal Long,Water Supply Corporation
87200,TX1480001,CITY OF BOOKER,N,Municipal Long,Municipal
88000,TX1170001,BORGER MUNICIPAL WATER SYSTEM,N,Municipal Long,Municipal
90400,TX1850001,BOVINA MUNICIPAL WATER SYSTEM,N,Municipal Long,Municipal
90800,TX1690001,CITY OF BOWIE,N,Municipal Long,Municipal
92000,TX2490002,CITY OF BOYD,N,Municipal Long,Municipal
92100,TX0610051,BOYD ACRES WATER SYSTEM,N,Municipal Long,Private/IOU
92350,TX1110042,BOYNTON WATER,N,Municipal Long,Water Supply Corporation
92550,TX1011120,BOYS & GIRLS COUNTRY,N,Municipal Short,Institutions/Facilities
92800,TX1800002,CAL FARLEYS BOYS RANCH,N,Municipal Short,Institutions/Facilities
93450,TX1360001,CITY OF BRACKETTVILLE,N,Municipal Long,Municipal
93600,TX1540001,CITY OF BRADY WATER SYSTEM,N,Municipal Long,Municipal
94450,TX1090018,BRANDON-IRENE WSC,N,Municipal Long,Water Supply Corporation
94920,TX1120010,BRASHEAR WSC,N,Municipal Long,Water Supply Corporation
95200,TX0200003,CITY OF BRAZORIA,N,Municipal Long,Municipal
95220,TX0200412,BRAZORIA COUNTY SHERIFFS OFFICE DETENTIO,N,Municipal Short,Institutions/Facilities
95252,TX0200386,BRAZORIA COUNTY MUD 2,N,Municipal Long,District 
95253,TX0200560,BRAZORIA COUNTY MUD 3,N,Municipal Long,District 
95256,TX0200578,BRAZORIA COUNTY MUD 6,N,Municipal Long,District 
95260,TX0200615,BRAZORIA COUNTY MUD 25,N,Municipal Long,District 
95774,TX1110028,BRAZOS RIVER ACRES,N,Municipal Long,Private/IOU
95776,TX0200278,BRAZOS RIVER CLUB,N,Municipal Short,Institutions/Facilities
95900,TX2150001,CITY OF BRECKENRIDGE,N,Municipal Long,Municipal
96800,TX1980001,CITY OF BREMOND,N,Municipal Long,Municipal
97600,TX2390001,CITY OF BRENHAM,N,Municipal Long,Municipal
97750,TX2350005,BRENTWOOD SUBDIVISION,N,Municipal Long,Private/IOU
97760,TX2270007,VILLAGE OF BRIARCLIFF,N,Municipal Long,Municipal
97908,TX1070220,BRIARWOOD HARBOR,N,Municipal Long,Private/IOU
97950,TX0960013,BRICE LESLEY WSC,N,Municipal Long,Water Supply Corporation
98000,TX1810001,CITY OF BRIDGE CITY,N,Municipal Long,Municipal
98060,TX2490003,CITY OF BRIDGEPORT,N,Municipal Long,Municipal
98065,TX1011550,BRIDGESTONE MUD,N,Municipal Long,District 
98075,TX0790350,BRIDLEWOOD ESTATES WATER SYSTEM,N,Municipal Long,Private/IOU
98100,TX2500015,BRIGHT STAR-SALEM SUD,N,Municipal Long,Water Supply Corporation
98146,TX2420006,FORT ELLIOTT CISD BRISCOE,N,Municipal Short,Institutions/Facilities
98150,TX1120011,BRINKER WSC,N,Municipal Long,Water Supply Corporation
98220,TX1011014,BRITTMOORE UTILITY,N,Municipal Long,Private/IOU
98225,TX0610181,BRITTANY HILL WATER ASSOCIATION,N,Municipal Long,Private/IOU
98250,TX2030003,CITY OF BROADDUS,N,Municipal Long,Municipal
98305,TX0410001,CITY OF BRONTE,N,Municipal Long,Municipal
98350,TX2020004,BROOKELAND FWSD,N,Municipal Long,District 
98360,TX0250004,BROOKESMITH SPECIAL UTILITY DISTRICT,N,Municipal Long,District 
98398,TX2300015,BROOKSHIRES CAMP JOY WATER SYSTEM,N,Municipal Long,Private/IOU
98400,TX2370004,BROOKSHIRE MWD,N,Municipal Long,District 
99155,TX1210048,CITY OF BROWNDELL,N,Municipal Long,Municipal
99200,TX2230001,CITY OF BROWNFIELD,N,Municipal Long,Municipal
100000,TX1070003,CITY OF BROWNSBORO,N,Municipal Long,Municipal
100400,TX0310001,BROWNSVILLE PUBLIC UTILITIES BOARD,N,Municipal Long,Municipal
100600,TX0250002,CITY OF BROWNWOOD,N,Municipal Long,Municipal
101600,TX2400003,BRUNI RURAL WSC,N,Municipal Long,Water Supply Corporation
101620,TX0640028,BRUNDAGE WATER SYSTEM,N,Municipal Long,Private/IOU
101950,TX0010036,BRUSHY CREEK WSC,N,Municipal Long,Water Supply Corporation
101960,TX1700601,BRUSHY CREEK UTILITY,N,Municipal Long,Private/IOU
102400,TX0210001,CITY OF BRYAN,N,Municipal Long,Municipal
103200,TX1190001,CITY OF BRYSON,N,Municipal Long,Municipal
104300,TX1500003,BUCHANAN LAKE VILLAGE,N,Municipal Long,Private/IOU
104600,TX1660007,CITY OF BUCKHOLTS,N,Municipal Long,Municipal
105600,TX1050012,CITY OF BUDA,N,Municipal Long,Municipal
106000,TX0700037,BUENA VISTA BETHEL SUD,N,Municipal Long,District 
106050,TX0270008,BUENA VISTA WS BURNET,N,Municipal Long,Private/IOU
106400,TX1450001,CITY OF BUFFALO,N,Municipal Long,Municipal
