Year,TWDB Survey No,PWS Name,TWDB Estimated?, Population Served , Single Family Volumes , Single Family Connections , Multi-Family Volumes , Multi-Family Connections , Commercial Volume , Commercial Connections , Industrial Volumes , Industrial Connections , Institutional Volume , Institutional Connections , Agricultural Volumes , Agricultural Connections , Total Metered Volume , Total Metered Connections , Total Un-metered Volume , Total Un-metered Connections 
2022,9950,AFTON GROVE WSC,N," 1,860 "," 39,997,440 ", 538 ," 2,314,700 ", 115 ," 169,900 ", 3 ," 1,383,500 ", 1 ," 363,700 ", 3 ,,," 44,229,240 ", 660 ,,
2023,9950,AFTON GROVE WSC,N," 1,785 "," 38,648,900 ", 473 ," 2,738,100 ", 115 ," 141,800 ", 3 ," 1,234,200 ", 1 ," 376,300 ", 3 ,,," 43,139,300 ", 595 ,,
2022,9951,AFTON PARK WATER SYSTEM,Y, 112 ," 1,073,319 ", 28 ,,,,,,,,,,," 1,073,319 ", 28 ,,
2023,9951,AFTON PARK WATER SYSTEM,Y, 112 ," 1,073,319 ", 28 ,,,,,,,,,,," 1,073,319 ", 28 ,,
2022,10200,AGNES SUBDIVISION,Y, 69 ,,,,,,,,,,,,,,,,
2023,10200,AGNES SUBDIVISION,Y, 69 ,,,,,,,,,,,,,,,,
2022,10600,CITY OF AGUA DULCE,N, 780 ,,,,,,,,,,,,," 26,955,140 ", 320 ,,
2023,10600,CITY OF AGUA DULCE,Y, 780 ,,,,,,,,,,,,," 26,955,140 ", 320 ,,
2022,10848,BLUE SKIES OF TEXAS WEST,N, 750 ," 125,683,000 ", 400 ,,,,,,,,,,," 125,683,000 ", 400 ,,
2023,10848,BLUE SKIES OF TEXAS WEST,Y, 750 ," 125,683,000 ", 400 ,,,,,,,,,,," 125,683,000 ", 400 ,,
2022,10853,AIR PARK ESTATES,N, 75 ," 4,215,200 ", 32 ,,,,,,,,,,," 4,215,200 ", 32 ,,
2023,10853,AIR PARK ESTATES,N, 75 ," 4,731,482 ", 32 ,,,,,,,,,,," 4,731,482 ", 32 ,,
2022,11000,CITY OF ALAMO,N," 21,065 "," 447,689,500 "," 4,875 "," 29,579,900 ", 438 ," 208,809,800 ", 410 ,,," 42,384,000 ", 39 ,,," 728,463,200 "," 5,762 "," 1,031,180 ",
2023,11000,CITY OF ALAMO,N," 21,065 "," 456,215,700 "," 4,960 "," 26,958,900 ", 438 ," 214,251,700 ", 419 ,,," 49,988,800 ", 39 ,,," 747,415,100 "," 5,856 "," 875,779 ",
2022,11200,CITY OF ALAMO HEIGHTS,N," 7,357 "," 365,583,982 "," 2,475 "," 26,347,208 ", 85 ," 35,451,894 ", 199 ,,," 6,005,255 ", 15 ," 119,480,067 ", 373 ," 552,868,406 "," 3,147 "," 16,176,600 ", 250 
2023,11200,CITY OF ALAMO HEIGHTS,N," 7,357 "," 329,469,144 "," 2,474 "," 32,122,134 ", 91 ," 58,618,860 ", 186 ,,," 6,229,202 ", 15 ," 91,596,722 ", 377 ," 518,036,062 "," 3,143 "," 16,235,800 ", 260 
2022,11400,CITY OF ALBA,N, 570 ," 17,189,100 ", 312 ," 772,000 ", 24 ," 2,182,000 ", 33 ," 2,649,300 ", 7 ,,,,," 22,792,400 ", 376 ," 10,000 ", 1 
2023,11400,CITY OF ALBA,N, 570 ," 17,114,200 ", 289 ," 867,800 ", 24 ," 1,998,400 ", 27 ,,," 1,629,800 ", 6 ,,," 21,610,200 ", 346 ," 10,000 ", 1 
2022,11420,CITY OF ALBANY,N," 2,034 "," 68,548,000 ", 885 ," 3,292,000 ", 4 ," 11,860,000 ", 136 ," 3,690,000 ", 1 ," 7,469,000 ", 44 ,,," 94,859,000 "," 1,070 "," 2,667,000 ", 1 
2023,11420,CITY OF ALBANY,N," 2,010 "," 61,223,000 ", 894 ," 2,512,000 ", 4 ," 8,128,000 ", 129 ," 4,445,000 ", 1 ," 24,915,000 ", 66 ,,," 101,223,000 "," 1,094 "," 2,400,000 ", 1 
2022,11425,K & K WATER COMPANY,N, 223 ," 5,921,000 ", 93 ,,,,,,,,,,," 5,921,000 ", 93 ," 610,000 ",
2023,11425,K & K WATER COMPANY,Y, 223 ," 5,921,000 ", 93 ,,,,,,,,,,," 5,921,000 ", 93 ," 610,000 ",
2022,11427,ALBURY MANOR UTILITY COMPANY,N, 150 ," 8,664,000 ", 50 ,,,,,,,,,,," 8,664,000 ", 50 ,,
2023,11427,ALBURY MANOR UTILITY COMPANY,N, 153 ," 9,307,450 ", 51 ,,,,,,,,,,," 9,307,450 ", 51 ,,
2022,11475,ALDINE FOREST,N, 141 ," 3,392,000 ", 43 ,,," 438,000 ", 4 ,,,,,,," 3,830,000 ", 47 ," 624,000 ",
2023,11475,ALDINE FOREST,N, 147 ," 3,348,000 ", 45 ,,," 363,000 ", 4 ,,,,,,," 3,711,000 ", 49 ," 29,000 ",
2022,12200,CITY OF ALICE,N," 17,891 "," 420,756,000 "," 6,341 "," 70,197,000 ", 27 ," 384,698,000 ", 934 ,,,,,,," 875,651,000 "," 7,302 "," 16,634,974 ",
2023,12200,CITY OF ALICE,N," 17,891 "," 387,930,000 "," 6,355 "," 71,026,000 ", 27 ," 351,727,000 ", 952 ,,,,,,," 810,683,000 "," 7,334 "," 16,792,788 ",
2022,12900,ALLENDALE WATER SYSTEM,N, 174 ," 3,506,000 ", 58 ,,,,,,,,,,," 3,506,000 ", 58 ," 10,000 ",
2023,12900,ALLENDALE WATER SYSTEM,N, 174 ," 3,684,000 ", 58 ,,,,,,,,,,," 3,684,000 ", 58 ,,
2022,13000,CITY OF ALLEN,N," 110,380 "," 3,731,693,700 "," 30,320 "," 368,264,800 "," 10,056 "," 1,106,919,800 "," 2,092 "," 87,243,100 ", 12 ," 337,851,500 ", 349 ,,," 5,631,972,900 "," 42,829 "," 150,361,115 ",
2023,13000,CITY OF ALLEN,N," 111,218 "," 3,715,452,588 "," 31,715 "," 371,173,672 "," 10,743 "," 1,142,830,700 "," 2,128 "," 90,464,700 ", 9 ," 357,908,000 ", 398 ,,," 5,677,829,660 "," 44,993 "," 221,399,971 ",
2022,13800,CITY OF ALPINE,N," 5,815 "," 201,347,037 "," 2,417 "," 16,281,000 ", 21 ," 86,443,011 ", 330 ,,," 83,862,000 ", 27 ,,," 387,933,048 "," 2,795 "," 187,466,162 ", 1 
2023,13800,CITY OF ALPINE,N," 5,905 "," 199,996,000 "," 2,414 "," 17,082,000 ", 21 ," 85,379,000 ", 317 ,,," 70,068,000 ", 29 ,,," 372,525,000 "," 2,781 "," 48,492,282 ", 1 
2022,14000,GALVESTON COUNTY WCID 8,N," 10,000 "," 107,593,600 "," 2,213 "," 12,865,800 ", 355 ," 39,810,300 ", 220 ,,," 11,617,400 ", 8 ," 31,415,700 ",," 203,302,800 "," 2,796 "," 5,392,300 ",
2023,14000,GALVESTON COUNTY WCID 8,N," 10,000 "," 120,614,100 "," 2,299 "," 15,494,000 ", 367 ," 46,453,600 ", 221 ,,," 10,329,300 ", 8 ," 7,933,790 ",," 200,824,790 "," 2,895 "," 8,643,210 ",
2022,15400,CITY OF ALTO,N," 1,767 "," 35,785,500 ", 502 ," 2,739,400 ", 4 ," 4,756,100 ", 80 ,,,,,,," 43,281,000 ", 589 ," 76,187,000 ", 3 
2023,15400,CITY OF ALTO,N," 1,740 "," 22,459,200 ", 491 ," 2,323,500 ", 4 ," 6,032,000 ", 82 ,,,,,,," 30,814,700 ", 577 ," 130,446,300 ", 3 
2022,15450,ALTO RURAL WSC BRADFORD MT PLANT,Y, 330 ,, 107 ,,,,,,,,,,,, 107 ,,
2023,15450,ALTO RURAL WSC BRADFORD MT PLANT,N, 348 ," 71,338,500 ", 118 ,,,,,,,,,,," 71,338,500 ", 118 ,,
2022,16000,CITY OF ALVARADO,N," 5,330 "," 112,923,000 "," 1,915 "," 295,500 ", 5 ," 45,656,438 ", 168 ,,," 27,393,862 ", 63 ,,," 186,268,800 "," 2,151 "," 30,424,760 ",
2023,16000,CITY OF ALVARADO,N," 4,739 "," 107,341,673 "," 2,000 "," 269,027 ", 5 ," 48,264,660 ", 259 ,,," 12,124,440 ", 52 ,,," 167,999,800 "," 2,316 "," 167,999,800 ",
2022,16800,CITY OF ALVIN,N," 27,576 "," 405,054,993 "," 7,386 "," 145,530,000 ", 183 ," 171,043,377 ", 835 ," 314,081,000 ", 16 ," 280,529,572 ", 39 ,,," 1,316,238,942 "," 8,459 "," 300,000 ", 110 
2023,16800,CITY OF ALVIN,N," 29,511 "," 448,050,336 "," 7,673 "," 131,715,700 ", 175 ," 169,263,842 ", 852 ," 258,343,010 ", 9 ," 28,196,846 ", 39 ,,," 1,035,569,734 "," 8,748 "," 100,000,000 ", 110 
2022,17200,CITY OF ALVORD,N," 1,360 "," 29,793,400 ", 566 ," 422,200 ", 1 ," 4,697,000 ", 50 ,,,,,,," 34,912,600 ", 617 ,,
2023,17200,CITY OF ALVORD,N," 1,433 "," 25,998,200 ", 570 ," 480,100 ", 1 ," 13,492,300 ", 67 ,,,,,,," 39,970,600 ", 638 ,,
2022,17600,AMARILLO MUNICIPAL WATER SYSTEM,N," 202,434 "," 7,867,956,000 "," 77,300 ",, 780 ," 10,450,594,000 "," 7,030 "," 455,589,000 ", 57 ," 102,183,000 ", 3 ," 1,634,570 ", 4 ," 22,232,642,730 "," 85,176 "," 7,142,800 "," 5,102 "
2023,17600,AMARILLO MUNICIPAL WATER SYSTEM,N," 206,012 "," 7,325,818,000 "," 78,417 "," 52,589,000 ", 780 ," 9,051,197,000 "," 5,302 "," 232,889,000 ", 97 ," 146,219,000 ", 3 ," 1,468,300 "," 1,927 "," 18,223,395,300 "," 86,528 "," 179,129,800 "," 5,142 "
2022,20305,AMBERWOOD SUBDIVISION,N, 168 ," 2,994,000 ", 56 ,,,,,,,,,,," 2,994,000 ", 56 ,,
2023,20305,AMBERWOOD SUBDIVISION,Y, 168 ," 2,994,000 ", 56 ,,,,,,,,,,," 2,994,000 ", 56 ,,
2022,22900,MADING LANE,N, 315 ," 5,357,000 ", 79 ,,," 2,845,000 ", 26 ,,,,,,," 8,202,000 ", 105 ," 3,055,000 ",
2023,22900,MADING LANE,N, 309 ," 6,653,000 ", 79 ,,," 3,860,000 ", 24 ,,,,,,," 10,513,000 ", 103 ," 12,000 ",
2022,23500,AMES MINGLEWOOD WSC,N," 1,201 "," 33,871,780 ", 569 ," 121,990 ", 12 ," 2,899,055 ", 13 ,,," 337,510 ", 4 ," 370,120 ", 4 ," 37,600,455 ", 602 ,,
2023,23500,AMES MINGLEWOOD WSC,N," 1,174 "," 32,536,877 ", 576 ," 282,020 ", 10 ," 3,618,735 ", 15 ,,," 176,600 ", 5 ," 187,340 ", 4 ," 36,801,572 ", 610 ,,
2022,24000,CITY OF AMHERST,N, 721 ," 16,394,034 ", 269 ," 948,000 ", 1 ," 1,271,000 ", 14 ,,," 2,978,000 ", 4 ," 646,000 ", 5 ," 22,237,034 ", 293 ," 3,576,155 ", 38 
2023,24000,CITY OF AMHERST,N, 721 ," 16,094,000 ", 266 ," 340,000 ", 1 ," 1,205,000 ", 15 ,,," 2,586,000 ", 5 ," 229,000 ", 5 ," 20,454,000 ", 292 ," 4,306,858 ",
2022,24800,CITY OF ANAHUAC,N," 2,376 "," 47,183,567 ", 791 ," 1,295,517 ", 6 ," 12,288,499 ", 114 ,,,,," 36,900 ", 6 ," 60,804,483 ", 917 ," 13,790,440 ",
2023,24800,CITY OF ANAHUAC,N," 2,376 "," 36,468,026 ", 806 ," 1,507,594 ", 8 ," 15,355,285 ", 117 ,,,,," 38,140 ", 7 ," 53,369,045 ", 938 ," 15,067,498 ",
2022,25600,ANDERSON WATER SYSTEM,Y, 651 ," 16,030,200 ", 217 ,,,,,,,,,,," 16,030,200 ", 217 ,,
2023,25600,ANDERSON WATER SYSTEM,Y, 651 ," 16,030,200 ", 217 ,,,,,,,,,,," 16,030,200 ", 217 ,,
2022,26080,ANDERSON COUNTY CEDAR CREEK WSC,N," 1,320 "," 7,445,000 ", 440 ,,,,,,,,,,," 7,445,000 ", 440 ,,
2023,26080,ANDERSON COUNTY CEDAR CREEK WSC,N," 1,386 "," 49,219,000 ", 462 ,,,,,,,,,,," 49,219,000 ", 462 ,,
2022,28000,CITY OF ANDREWS,N," 14,000 "," 528,861,000 "," 4,423 "," 21,712,000 ", 65 ," 80,597,000 ", 429 ," 4,614,000 ", 3 ," 135,975,000 ", 142 ,,," 771,759,000 "," 5,062 ",,
2023,28000,CITY OF ANDREWS,N," 14,000 "," 506,530,000 "," 4,458 "," 24,384,000 ", 65 ," 79,551,000 ", 424 ," 1,355,000 ", 3 ," 126,681,000 ", 145 ,,," 738,501,000 "," 5,095 ",,
2022,28125,ANGLECREST SUBDIVISION,N, 207 ," 6,584,450 ", 83 ,,,,,,,,,,," 6,584,450 ", 83 ," 200,000 ",
2023,28125,ANGLECREST SUBDIVISION,N, 207 ," 6,925,370 ", 83 ,,,,,,,,,,," 6,925,370 ", 83 ," 200,000 ",
2022,28410,ANGELINA COUNTY FWSD 1,N, 525 ," 11,172,316 ", 195 ,,," 1,916,054 ", 9 ,,,,,,," 13,088,370 ", 204 ,,
2023,28410,ANGELINA COUNTY FWSD 1,N, 522 ," 12,329,215 ", 198 ,,," 1,783,095 ", 9 ,,,,,,," 14,112,310 ", 207 ,,
2022,28500,ANGELINA WSC,N," 3,911 "," 69,897,200 "," 1,277 "," 704,400 ", 125 ," 1,730,500 ", 35 ," 320,400 ", 1 ," 917,100 ", 14 ," 76,800 ", 2 ," 73,646,400 "," 1,454 "," 4,100,000 ", 111 
2023,28500,ANGELINA WSC,N," 3,951 "," 73,994,100 "," 1,294 "," 762,800 ", 125 ," 2,001,600 ", 31 ," 675,600 ", 1 ," 829,000 ", 15 ," 132,600 ", 2 ," 78,395,700 "," 1,468 "," 4,100,000 ", 111 
2022,28790,ANGLE ACRES WATER SYSTEM,N, 108 ," 1,854,000 ", 36 ,,,,,,,,,,," 1,854,000 ", 36 ,,
2023,28790,ANGLE ACRES WATER SYSTEM,N, 150 ," 2,293,000 ", 50 ,,,,,,,,,,," 2,293,000 ", 50 ," 28,000 ",
2022,28800,CITY OF ANGLETON,N," 19,491 "," 208,003,137 "," 6,244 "," 132,928,481 "," 1,750 "," 118,087,562 ", 651 ,,,,,,," 459,019,180 "," 8,645 ",,
2023,28800,CITY OF ANGLETON,N," 19,491 "," 545,930,500 "," 6,602 "," 76,186,100 "," 1,858 "," 110,457,000 ", 651 ,,,,,,," 732,573,600 "," 9,111 ",,
2022,29000,ANGUS WSC,N," 1,122 "," 27,891,000 ", 363 ,,," 3,060,000 ", 22 ,,,,," 420,000 ", 1 ," 31,371,000 ", 386 ,,
2023,29000,ANGUS WSC,N," 1,122 "," 29,795,000 ", 369 ,,," 3,110,000 ", 22 ,,,,," 421,000 ", 1 ," 33,326,000 ", 392 ,,
2022,29600,CITY OF ANNA,N," 27,069 "," 579,705,030 "," 9,023 "," 4,977,103 ", 7 ," 98,920,984 ", 306 ,,," 133,019,030 ", 34 ,,," 816,622,147 "," 9,370 "," 2,564,875 ", 29 
2023,29600,CITY OF ANNA,N," 24,060 "," 661,512,045 "," 9,520 "," 5,191,644 ", 11 ," 123,535,386 ", 352 ,,," 19,428,630 ", 37 ,,," 809,667,705 "," 9,920 "," 2,288,735 ", 30 
2022,29650,CITY OF ANNONA,Y, 315 ," 3,500,000 ", 121 ,,," 3,822,720 ", 10 ,,,,,,," 7,322,720 ", 131 ,,
2023,29650,CITY OF ANNONA,Y, 315 ," 3,500,000 ", 121 ,,," 3,822,720 ", 10 ,,,,,,," 7,322,720 ", 131 ,,
2022,29800,CITY OF ANSON,N," 2,500 "," 4,461,000 ", 968 ," 467,000 ", 10 ," 975,000 ", 90 ," 5,365,000 ", 3 ," 360,000 ", 8 ," 78,000 ", 3 ," 11,706,000 "," 1,082 ",,
2023,29800,CITY OF ANSON,N," 2,235 "," 53,817,000 ", 983 ," 469,000 ", 9 ," 968,000 ", 88 ," 536,000 ", 3 ," 345,000 ", 6 ," 81,000 ", 3 ," 56,216,000 "," 1,092 ",,
2022,30000,TOWN OF ANTHONY,N," 3,671 "," 83,632,000 "," 1,112 ",, 8 ," 62,474,000 ", 139 ,,," 41,964,000 ", 10 ,,," 188,070,000 "," 1,269 "," 960,000 ", 32 
2023,30000,TOWN OF ANTHONY,Y," 3,671 "," 83,632,000 "," 1,112 ",, 8 ," 62,474,000 ", 139 ,,," 41,964,000 ", 10 ,,," 188,070,000 "," 1,269 "," 960,000 ", 32 
2022,30400,CITY OF ANTON,N," 1,126 "," 33,933,106 ", 431 ," 645,000 ", 14 ," 705,624 ", 12 ,,," 1,151,033 ", 14 ,,," 36,434,763 ", 471 ," 5,500,000 ", 6 
2023,30400,CITY OF ANTON,N, 907 ," 30,242,000 ", 431 ," 608,000 ", 3 ," 349,000 ", 11 ,,," 417,000 ", 13 ,,," 31,616,000 ", 458 ," 2,500,000 ", 6 
2022,31200,APPLEBY WSC,N," 5,418 "," 196,741,500 "," 1,805 ",,,,,,,,,,," 196,741,500 "," 1,805 "," 8,600,000 ",
2023,31200,APPLEBY WSC,N," 5,445 "," 200,648,100 "," 1,815 ",,,,,,,,,,," 200,648,100 "," 1,815 "," 8,000,000 ",
2022,31400,APPLE SPRINGS WSC,N, 648 ," 9,917,180 ", 214 ,,," 457,100 ", 1 ,,," 563,800 ", 1 ,,," 10,938,080 ", 216 ," 2,200,000 ", 6 
2023,31400,APPLE SPRINGS WSC,N, 660 ," 9,127,500 ", 218 ,,," 363,500 ", 1 ,,," 1,633,000 ", 1 ,,," 11,124,000 ", 220 ," 3,222,000 ", 7 
2022,31460,CRYSTAL CLEAR WHISPERING RIDGE,N, 82 ," 5,135,930 ", 31 ,,,,,,,,,,," 5,135,930 ", 31 ," 30,000 ", 1 
2023,31460,CRYSTAL CLEAR WHISPERING RIDGE,N, 82 ," 5,135,930 ", 31 ,,,,,,,,,,," 5,135,930 ", 31 ," 4,625 ", 1 
2022,31475,AQUA VISTA UTILITIES,Y, 270 ," 7,708,000 ", 90 ,,,,,,,,,,," 7,708,000 ", 90 ,,
2023,31475,AQUA VISTA UTILITIES,Y, 270 ," 7,708,000 ", 90 ,,,,,,,,,,," 7,708,000 ", 90 ,,
2022,31500,AQUA WSC,N," 74,205 "," 2,463,375,713 "," 24,735 ",,," 385,237,758 ", 183 ," 10,856,100 ", 1 ," 38,643,300 ", 132 ,,," 2,898,112,871 "," 25,051 "," 91,813,398 ", 13 
2023,31500,AQUA WSC,N," 86,811 "," 2,557,234,633 "," 28,936 "," 1,147,360 ", 1 ," 336,372,974 ", 167 ," 12,569,000 ", 1 ," 179,604,000 ", 121 ,,," 3,086,927,967 "," 29,226 "," 154,773,945 ", 25 
2022,32000,AQUILLA WSC,N, 500 ," 8,025,840 ", 136 ,,," 213,510 ", 4 ,,," 623,700 ", 1 ," 410,100 ", 1 ," 9,273,150 ", 142 ," 500,000 ", 3 
2023,32000,AQUILLA WSC,N, 500 ," 6,985,820 ", 136 ,,," 165,590 ", 4 ,,," 2,012,500 ", 1 ," 281,100 ", 1 ," 9,445,010 ", 142 ," 500,000 ",
2022,32605,ARANSAS COUNTY MUD 1,N, 525 ," 9,964,200 ", 197 ,,," 786,000 ", 2 ,,,,,,," 10,750,200 ", 199 ,,
2023,32605,ARANSAS COUNTY MUD 1,N, 625 ," 10,177,300 ", 195 ,,," 869,000 ", 2 ,,,,,,," 11,046,300 ", 197 ,,
2022,32800,CITY OF ARANSAS PASS,N," 10,521 "," 186,779,000 "," 4,081 "," 22,600,100 ", 45 ," 121,144,800 ", 515 ," 14,827,600 ", 12 ," 2,602,500 ", 9 ,,," 347,954,000 "," 4,662 "," 151,404,470 ", 75 
2023,32800,CITY OF ARANSAS PASS,N," 10,651 "," 199,401,868 "," 4,126 "," 18,469,273 ", 51 ," 131,566,900 ", 541 ," 21,339,200 ", 12 ," 2,576,300 ", 4 ,,," 373,353,541 "," 4,734 "," 95,040,000 ", 30 
2022,33660,CITY OF ARCHER CITY,N," 1,830 "," 39,690,290 ", 796 ," 573,380 ", 62 ," 4,739,131 ", 77 ,,," 918,745 ", 21 ," 139,160 ", 7 ," 46,060,706 ", 963 ," 2,213,413 ", 9 
2023,33660,CITY OF ARCHER CITY,N," 1,830 "," 38,726,514 ", 767 ," 645,270 ", 31 ," 4,757,034 ", 85 ,,," 2,476,727 ", 20 ," 177,990 ", 27 ," 46,783,535 ", 930 ," 2,264,000 ", 5 
2022,33715,ARCHER COUNTY MUD 1,N," 1,325 "," 47,113,540 ", 434 ,,," 250,000 ", 5 ," 375,000 ", 1 ,,," 250,000 ", 1 ," 47,988,540 ", 441 ," 54,000 ", 1 
2023,33715,ARCHER COUNTY MUD 1,N," 1,330 "," 41,965,820 ", 434 ,,," 100,000 ", 5 ," 50,000 ", 1 ," 483,000 ", 1 ," 524,360 ", 1 ," 43,123,180 ", 442 ," 54,000 ", 1 
2022,33760,CITY OF ARCOLA,N," 2,700 "," 19,339,000 ", 747 ," 2,884,000 ", 96 ," 3,830,000 ", 53 ,,,,," 488,000 ", 4 ," 26,541,000 ", 900 ," 567,000 ",
2023,33760,CITY OF ARCOLA,N," 2,406 "," 41,934,000 ", 653 ," 3,067,000 ", 96 ," 7,770,000 ", 29 ,,," 12,000 ", 2 ," 5,492,000 ", 22 ," 58,275,000 ", 802 ," 935,000 ",
2022,33950,ARGYLE WSC,N," 11,373 "," 543,060,956 "," 3,737 ",,," 182,520,300 ", 54 ,,,,,,," 725,581,256 "," 3,791 ",,
2023,33950,ARGYLE WSC,N," 12,486 "," 560,987,284 "," 4,097 ",,," 197,610,400 ", 65 ,,,,,,," 758,597,684 "," 4,162 ",,
2022,34900,ARLAM CONCORD WSC,Y, 987 ,,,,,,,,,,,,,,,,
2023,34900,ARLAM CONCORD WSC,Y, 987 ,,,,,,,,,,,,,,,,
2022,34950,ARLEDGE RIDGE WSC,N," 2,094 "," 39,918,780 ", 698 ,,,,,,,,,,," 39,918,780 ", 698 ,,
2023,34950,ARLEDGE RIDGE WSC,N," 2,124 "," 42,819,540 ", 708 ,,,,,,,,,,," 42,819,540 ", 708 ,,
